,0000F8B1,
5713,63666,0000F8B2
5715,63669,0000F8B5
5717,63672,0000F8B8
5719,63677,0000F8BD
5721,63682,0000F8C2
5723,63688,0000F8C8
5725,63699,0000F8D3
5727,63708,0000F8DC
5729,63719,0000F8E7
5731,63732,0000F8F4
5733,63746,0000F902
5735,63761,0000F911
5737,63777,0000F921
5739,63792,0000F930
5741,63807,0000F93F
5743,63820,0000F94C
5745,63832,0000F958
5747,63845,0000F965
5749,63856,0000F970
5751,63867,0000F97B
5753,63876,0000F984
5755,63886,0000F98E
5757,63896,0000F998
5759,63905,0000F9A1
5761,63915,0000F9AB
5763,63925,0000F9B5
5765,63931,0000F9BB
5767,63939,0000F9C3
5769,63946,0000F9CA
5771,63953,0000F9D1
5773,63959,0000F9D7
5775,63964,0000F9DC
5777,63968,0000F9E0
5779,63972,0000F9E4
5781,63973,0000F9E5
5783,63975,0000F9E7
5785,63978,0000F9EA
5787,63979,0000F9EB
5789,63978,0000F9EA
5791,63976,0000F9E8
5793,63974,0000F9E6
5795,63971,0000F9E3
5797,63965,0000F9DD
5799,63959,0000F9D7
5801,63952,0000F9D0
5803,63942,0000F9C6
5805,63928,0000F9B8
5807,63913,0000F9A9
5809,63897,0000F999
5811,63879,0000F987
5813,63863,0000F977
5815,63849,0000F969
5817,63832,0000F958
5819,63816,0000F948
5821,63801,0000F939
5823,63785,0000F929
5825,63772,0000F91C
5827,63762,0000F912
5829,63750,0000F906
5831,63738,0000F8FA
5833,63725,0000F8ED
5835,63713,0000F8E1
5837,63703,0000F8D7
5839,63694,0000F8CE
5841,63686,0000F8C6
5843,63678,0000F8BE
5845,63673,0000F8B9
5847,63669,0000F8B5
5849,63666,0000F8B2
5851,63665,0000F8B1
5853,63665,0000F8B1
5855,63663,0000F8AF
5857,63664,0000F8B0
5859,63666,0000F8B2
5861,63669,0000F8B5
5863,63673,0000F8B9
5865,63676,0000F8BC
5867,63681,0000F8C1
5869,63688,0000F8C8
5871,63696,0000F8D0
5873,63707,0000F8DB
5875,63717,0000F8E5
5877,63730,0000F8F2
5879,63744,0000F900
5881,63758,0000F90E
5883,63774,0000F91E
5885,63791,0000F92F
5887,63806,0000F93E
5889,63820,0000F94C
5891,63831,0000F957
5893,63842,0000F962
5895,63853,0000F96D
5897,63864,0000F978
5899,63876,0000F984
5901,63884,0000F98C
5903,63891,0000F993
5905,63902,0000F99E
5907,63913,0000F9A9
5909,63924,0000F9B4
5911,63935,0000F9BF
