int fftInput
DFT Start
DFT Finished
Index,Data,Frequency,Real,Imaginary,Abs
0,1.00000,0.00000,4.00000,0.00000,4.00000
1,1.00000,4000.00000,1.75859,0.00000,1.75859
2,1.00000,8000.00000,1.26007,0.00000,1.26007
3,1.00000,12000.00000,1.10461,0.00000,1.10461
4,0.00000,16000.00000,1.04516,0.00000,1.04516
5,0.00000,20000.00000,1.02009,0.00000,1.02009
6,0.00000,24000.00000,1.00906,0.00000,1.00906
7,0.00000,28000.00000,1.00411,0.00000,1.00411
int fftInput
DFT Start
DFT Finished
Index,Data,Frequency,Real,Imaginary,Abs
0,1.00000,0.00000,4.00000,0.00000,4.00000
1,1.00000,4000.00000,1.75859,0.00000,1.75859
2,1.00000,8000.00000,1.26007,0.00000,1.26007
3,1.00000,12000.00000,1.10461,0.00000,1.10461
4,0.00000,16000.00000,1.04516,0.00000,1.04516
5,0.00000,20000.00000,1.02009,0.00000,1.02009
6,0.00000,24000.00000,1.00906,0.00000,1.00906
7,0.00000,28000.00000,1.00411,0.00000,1.00411
int fftInput
DFT Start
DFT Finished
Index,Data,Frequency,Real,Imaginary,Abs
0,1.00000,0.00000,4.00000,0.00000,4.00000
1,1.00000,4000.00000,1.75859,0.00000,1.75859
2,1.00000,8000.00000,1.26007,0.00000,1.26007
3,1.00000,12000.00000,1.10461,0.00000,1.10461
4,0.00000,16000.00000,1.04516,0.00000,1.04516
5,0.00000,20000.00000,1.02009,0.00000,1.02009
6,0.00000,24000.00000,1.00906,0.00000,1.00906
7,0.00000,28000.00000,1.00411,0.00000,1.00411
int fftInput
DFT Start
DFT Finished
Index,Data,Frequency,Real,Imaginary,Abs
0,1.00000,0.00000,4.00000,0.00000,4.00000
1,1.00000,4000.00000,1.75859,0.00000,1.75859
2,1.00000,8000.00000,1.26007,0.00000,1.26007
3,1.00000,12000.00000,1.10461,0.00000,1.10461
4,0.00000,16000.00000,1.04516,0.00000,1.04516
5,0.00000,20000.00000,1.02009,0.00000,1.02009
6,0.00000,24000.00000,1.00906,0.00000,1.00906
7,0.00000,28000.00000,1.00411,0.00000,1.00411
int fftInput
DFT Start
DFT Finished
Index,Data,Frequency,Real,Imaginary,Abs
0,1.00000,0.00000,4.00000,0.00000,4.00000
1,1.00000,4000.00000,1.75859,0.00000,1.75859
2,1.00000,8000.00000,1.26007,0.00000,1.26007
3,1.00000,12000.00000,1.10461,0.00000,1.10461
4,0.00000,16000.00000,1.04516,0.00000,1.04516
5,0.00000,20000.00000,1.02009,0.00000,1.02009
6,0.00000,24000.00000,1.00906,0.00000,1.00906
7,0.00000,28000.00000,1.00411,0.00000,1.00411
