Init
int dataVec
int fftInput
DFT Start
DFT Finished
Index,Data,Frequency,Real,Imaginary,Abs
0,-1653.00000,0.00000,-339912.00000,0.00000,339912.00000
1,-1653.00000,156.86274,1706.28222,971.75354,1963.59460
2,-1652.00000,313.72549,-800.33679,-903.58752,1207.06640
3,-1652.00000,470.58822,-231.00610,-358.29461,426.30838
4,-1651.00000,627.45098,-69.51074,-380.31954,386.61956
5,-1649.00000,784.31372,4.87561,-202.42745,202.48617
6,-1649.00000,941.17645,-98.08959,-91.69174,134.27191
7,-1647.00000,1098.03918,-81.93811,-59.54919,101.29145
8,-1647.00000,1254.90197,-11.32080,-114.75967,115.31671
9,-1646.00000,1411.76464,-26.38000,-76.61907,81.03325
10,-1645.00000,1568.62744,-8.89001,-84.97534,85.43910
11,-1646.00000,1725.49023,12.63305,-59.73974,61.06088
12,-1648.00000,1882.35290,8.07604,-70.68627,71.14613
13,-1646.00000,2039.21569,3.67187,-66.08288,66.18482
14,-1646.00000,2196.07836,-12.63244,-68.75396,69.90483
15,-1646.00000,2352.94116,-2.87475,-63.63714,63.70204
16,-1644.00000,2509.80395,26.19580,-39.36279,47.28265
17,-1644.00000,2666.66674,-1.56567,-44.87420,44.90150
18,-1644.00000,2823.52929,1.65734,9.54730,9.69008
19,-1644.00000,2980.39208,-3.73657,-0.95404,3.85644
20,-1645.00000,3137.25488,-1.09619,-49.77569,49.78776
21,-1647.00000,3294.11767,24.61682,-13.83959,28.24043
22,-1648.00000,3450.98046,14.08666,-34.70947,37.45906
23,-1649.00000,3607.84301,24.23974,-15.95971,29.02202
24,-1649.00000,3764.70581,-11.60754,-26.43115,28.86764
25,-1650.00000,3921.56860,17.12036,-46.37683,49.43599
26,-1651.00000,4078.43139,12.05676,-34.66406,36.70098
27,-1652.00000,4235.29394,15.56079,-36.81713,39.97048
28,-1653.00000,4392.15673,4.56274,-32.31274,32.63329
29,-1653.00000,4549.01953,20.51440,-23.31445,31.05486
30,-1653.00000,4705.88232,-0.54144,-16.48413,16.49302
31,-1654.00000,4862.74511,-9.65667,-16.67822,19.27211
32,-1655.00000,5019.60791,12.31628,-18.87268,22.53594
33,-1656.00000,5176.47070,18.11322,-22.43066,28.83094
34,-1658.00000,5333.33349,6.04968,-36.40112,36.90041
35,-1658.00000,5490.19628,14.05194,-22.59753,26.61025
36,-1658.00000,5647.05859,21.08184,-14.21875,25.42866
37,-1659.00000,5803.92138,13.96875,-14.14855,19.88234
38,-1660.00000,5960.78417,-9.21008,0.23437,9.21306
39,-1661.00000,6117.64697,15.66918,-15.12902,21.78097
40,-1661.00000,6274.50976,13.43194,-13.42919,18.99369
41,-1662.00000,6431.37255,8.48843,-21.51879,23.13249
42,-1663.00000,6588.23535,14.27340,-25.57666,29.28985
43,-1663.00000,6745.09814,12.20489,-7.58154,14.36799
44,-1665.00000,6901.96093,4.93377,-18.52990,19.17549
45,-1665.00000,7058.82373,8.43539,-19.76940,21.49384
46,-1665.00000,7215.68603,15.47238,-26.24450,30.46586
47,-1667.00000,7372.54882,4.09985,-21.88281,22.26356
48,-1668.00000,7529.41162,12.78923,-11.18811,16.99230
49,-1667.00000,7686.27441,6.81357,-14.94262,16.42275
50,-1667.00000,7843.13720,17.60232,-15.72558,23.60372
51,-1669.00000,8000.00000,0.01657,-22.09143,22.09143
52,-1670.00000,8156.86279,9.72563,-17.02526,19.60733
53,-1671.00000,8313.72558,18.40917,-13.68041,22.93581
54,-1672.00000,8470.58789,11.66183,-18.28247,21.68518
55,-1674.00000,8627.45117,20.35063,-9.70324,22.54553
56,-1674.00000,8784.31347,8.23831,3.77636,9.06260
57,-1676.00000,8941.17675,17.82318,-3.54821,18.17293
58,-1678.00000,9098.03906,7.57781,-11.49963,13.77188
59,-1680.00000,9254.90234,19.96441,-5.34130,20.66657
60,-1681.00000,9411.76464,2.89941,-4.06762,4.99521
61,-1681.00000,9568.62792,17.72293,1.88098,17.82246
62,-1681.00000,9725.49023,20.87255,-9.03833,22.74544
63,-1682.00000,9882.35253,1.93041,-21.42236,21.50916
64,-1684.00000,10039.21582,14.37060,-12.36010,18.95485
65,-1685.00000,10196.07812,8.34326,-13.27343,15.67782
66,-1686.00000,10352.94140,11.08837,-9.58703,14.65822
67,-1687.00000,10509.80371,16.17950,-12.87182,20.67511
68,-1688.00000,10666.66699,3.04449,-7.04431,7.67406
69,-1689.00000,10823.52929,12.87329,-4.78271,13.73302
70,-1690.00000,10980.39257,7.00799,-2.75939,7.53168
71,-1691.00000,11137.25488,6.98931,-2.21704,7.33251
72,-1691.00000,11294.11718,10.00750,-2.96057,10.43624
73,-1690.00000,11450.98046,9.07141,-2.70043,9.46482
74,-1691.00000,11607.84277,18.50012,1.70324,18.57836
75,-1691.00000,11764.70605,15.79174,4.99121,16.56174
76,-1691.00000,11921.56835,19.23120,-1.82836,19.31792
77,-1692.00000,12078.43164,11.81542,-6.71618,13.59086
78,-1693.00000,12235.29394,12.50390,-0.09606,12.50427
79,-1693.00000,12392.15722,11.07202,-3.31091,11.55646
80,-1694.00000,12549.01953,14.00109,-1.54687,14.08629
81,-1695.00000,12705.88281,17.00915,-1.72137,17.09603
82,-1695.00000,12862.74511,8.24121,-6.30963,10.37925
83,-1694.00000,13019.60742,11.46569,-0.00836,11.46570
84,-1695.00000,13176.47070,12.61242,-3.41064,13.06544
85,-1694.00000,13333.33300,10.26538,1.93627,10.44639
86,-1694.00000,13490.19628,11.39367,-1.21014,11.45776
87,-1696.00000,13647.05859,9.30187,-5.07836,10.59786
88,-1695.00000,13803.92187,15.18151,-7.92120,17.12378
89,-1694.00000,13960.78417,12.13916,0.68121,12.15825
90,-1695.00000,14117.64746,15.89526,-0.19793,15.89649
91,-1696.00000,14274.50976,17.95422,-0.29742,17.95668
92,-1696.00000,14431.37207,10.84436,-1.25375,10.91659
93,-1695.00000,14588.23535,10.38378,-4.37667,11.26846
94,-1695.00000,14745.09765,14.80444,-2.95739,15.09694
95,-1695.00000,14901.96093,11.42797,-5.54119,12.70053
96,-1694.00000,15058.82324,10.66149,-7.16928,12.84780
97,-1693.00000,15215.68652,8.35095,-1.25051,8.44406
98,-1692.00000,15372.54882,14.34191,1.04856,14.38019
99,-1692.00000,15529.41210,7.99377,-3.56344,8.75206
100,-1691.00000,15686.27441,10.85974,2.32432,11.10569
101,-1691.00000,15843.13769,7.47229,-0.78686,7.51360
102,-1690.00000,16000.00000,12.00000,-0.13723,12.00078
103,-1689.00000,16156.86230,7.55895,0.50844,7.57604
104,-1687.00000,16313.72558,10.94982,-2.33209,11.19542
105,-1686.00000,16470.58789,8.18847,3.53303,8.91815
106,-1685.00000,16627.45117,14.31408,-0.96673,14.34669
107,-1684.00000,16784.31445,8.32714,1.07620,8.39640
108,-1684.00000,16941.17578,10.58044,7.39944,12.91114
