int dataVec
int fftInput
DFT Start
DFT Finished
Index,Data,Frequency,Real,Imaginary,Abs
0,-1653.00000,0.00000,-832530.00000,0.00000,832530.00000
1,-1653.00000,64.12825,1070.68945,378.39236,1135.58654
2,-1652.00000,128.25651,1149.33923,724.50775,1358.63610
3,-1652.00000,192.38476,3599.61132,2806.76513,4564.55175
4,-1651.00000,256.51303,-2180.39990,-2237.39379,3124.11181
5,-1649.00000,320.64129,-690.45056,-900.83843,1135.00305
6,-1649.00000,384.76953,-361.15966,-588.02600,690.08038
7,-1647.00000,448.89779,-246.92407,-358.77273,435.53344
8,-1647.00000,513.02606,-148.86010,-327.48104,359.72653
9,-1646.00000,577.15429,-65.23010,-296.55664,303.64587
10,-1645.00000,641.28259,-34.17858,-510.98736,512.12915
11,-1646.00000,705.41082,-90.38513,-132.65089,160.51707
12,-1648.00000,769.53906,-3.04223,-199.15237,199.17561
13,-1646.00000,833.66735,23.72229,-208.72677,210.07049
14,-1646.00000,897.79559,-222.83984,-103.21246,245.58178
15,-1646.00000,961.92382,-90.70715,-104.39813,138.29951
16,-1644.00000,1026.05212,-31.55895,-127.82931,131.66738
17,-1644.00000,1090.18041,-175.01525,-34.99667,178.47999
18,-1644.00000,1154.30859,17.78271,-97.39962,99.00965
19,-1644.00000,1218.43688,-12.54833,-115.60678,116.28580
20,-1645.00000,1282.56518,27.97802,-92.49618,96.63494
21,-1647.00000,1346.69335,-71.85449,-73.99124,103.13957
22,-1648.00000,1410.82165,-37.15393,-87.49414,95.05598
23,-1649.00000,1474.94995,-4.23095,-81.05548,81.16582
24,-1649.00000,1539.07812,-9.36804,-77.69070,78.25346
25,-1650.00000,1603.20642,-15.25598,-84.16217,85.53370
26,-1651.00000,1667.33471,-7.10986,-63.88812,64.28251
27,-1652.00000,1731.46289,22.68188,-34.37213,41.18144
28,-1653.00000,1795.59118,-22.91821,-86.08770,89.08612
29,-1653.00000,1859.71948,14.91992,-73.46087,74.96069
30,-1653.00000,1923.84765,2.37805,-84.15222,84.18582
31,-1654.00000,1987.97595,2.71520,-63.07391,63.13232
32,-1655.00000,2052.10424,-1.96618,-77.06079,77.08586
33,-1656.00000,2116.23242,10.08166,-75.05944,75.73348
34,-1658.00000,2180.36083,-9.59899,-73.07226,73.70004
35,-1658.00000,2244.48901,-9.63195,-60.14770,60.91404
36,-1658.00000,2308.61718,19.57958,-48.02209,51.86021
37,-1659.00000,2372.74560,-16.08544,-42.92553,45.84040
38,-1660.00000,2436.87377,-19.73547,-33.57818,38.94847
39,-1661.00000,2501.00195,23.41748,-15.31005,27.97813
40,-1661.00000,2565.13037,-3.53991,-65.88732,65.98235
41,-1662.00000,2629.25854,-8.82421,-33.43707,34.58185
42,-1663.00000,2693.38671,-30.47949,-34.47937,46.01984
43,-1663.00000,2757.51513,-43.40979,-38.54248,58.05112
44,-1665.00000,2821.64331,-59.76745,24.28649,64.51342
45,-1665.00000,2885.77148,42.53710,-99.86572,108.54753
46,-1665.00000,2949.89990,-19.38317,15.05389,24.54235
47,-1667.00000,3014.02807,2.36975,-27.63134,27.73278
48,-1668.00000,3078.15625,36.16455,-66.87548,76.02766
49,-1667.00000,3142.28466,16.42871,-60.84436,63.02331
50,-1667.00000,3206.41284,4.38183,-10.50683,11.38394
51,-1669.00000,3270.54101,8.40087,-2.60363,8.79509
52,-1670.00000,3334.66943,25.08007,-35.14208,43.17379
53,-1671.00000,3398.79760,16.30566,-43.90173,46.83200
54,-1672.00000,3462.92578,19.58984,-42.47973,46.77915
55,-1674.00000,3527.05419,10.64599,-23.22875,25.55215
56,-1674.00000,3591.18237,1.12780,-15.82873,15.86886
57,-1676.00000,3655.31054,31.00769,-52.48437,60.95971
58,-1678.00000,3719.43896,12.80346,-66.46569,67.68765
59,-1680.00000,3783.56713,-3.76806,-2.53942,4.54389
60,-1681.00000,3847.69531,18.82568,-26.74121,32.70319
61,-1681.00000,3911.82373,23.57006,-53.55102,58.50863
62,-1681.00000,3975.95190,-5.03283,-43.49658,43.78678
63,-1682.00000,4040.08007,26.50805,-50.26293,56.82464
64,-1684.00000,4104.20849,7.83728,-31.07861,32.05156
65,-1685.00000,4168.33691,16.26623,-44.79125,47.65341
66,-1686.00000,4232.46484,31.55175,-43.51025,53.74621
