Index,Data,Frequency,Real,Imaginary,Abs
0,-1655,0,-1.67007e+06,0,1.67007e+06
1,-1646,32,1505.39,741.684,1678.18
2,-1639,64,2140.34,58.5334,2141.14
3,-1635,96,1009.43,-269.494,1044.79
4,-1633,128,1393.17,845.565,1629.69
5,-1631,160,1510.94,664.596,1650.64
6,-1626,192,1455.73,988.901,1759.85
7,-1621,224,2593,435.739,2629.36
8,-1614,256,2762.69,1416.77,3104.79
9,-1608,288,2845.44,1216.19,3094.45
10,-1601,320,2743.18,1705.79,3230.28
11,-1594,352,3927.1,2714.64,4774.03
12,-1588,384,6388.18,4261.36,7679.06
13,-1585,416,13908.5,11481.5,18035.2
14,-1581,448,-29599,-26175.9,39513
15,-1577,480,-6397.6,-6552.34,9157.65
16,-1574,512,-3672.69,-3817.42,5297.3
17,-1571,544,-2394.14,-2577.55,3517.91
18,-1568,576,-2077.88,-1871.8,2796.65
19,-1567,608,-1523.28,-1714.84,2293.7
20,-1569,640,-1238.43,-1652.64,2065.17
21,-1572,672,-1072.1,-1080.12,1521.86
22,-1580,704,-689.887,-1050.66,1256.91
23,-1588,736,-658.02,-957.838,1162.09
24,-1595,768,-646.589,-832.871,1054.4
25,-1602,800,-490.873,-714.938,867.233
26,-1607,832,-430.778,-743.922,859.645
27,-1611,864,-326.142,-371.479,494.334
28,-1616,896,-486.101,-811.901,946.296
29,-1623,928,-341.555,-790.115,860.78
30,-1631,960,-225.546,-619.665,659.436
31,-1640,992,-221.88,-584.935,625.604
32,-1649,1024,-263.949,-593.236,649.306
33,-1656,1056,-217.764,-540.459,582.681
34,-1665,1088,-176.207,-504.4,534.293
35,-1674,1120,-188.994,-521.289,554.491
36,-1684,1152,-198.16,-509.327,546.517
37,-1695,1184,-166.385,-440.555,470.927
38,-1704,1216,-159.234,-409.375,439.253
39,-1709,1248,-100.801,-368.485,382.024
40,-1713,1280,4.13574,-195.465,195.509
41,-1716,1312,1624.73,3129.35,3525.98
42,-1720,1344,-209,-623.297,657.404
43,-1723,1376,-148.113,-509.045,530.155
44,-1727,1408,-149.15,-444.398,468.759
45,-1734,1440,-132.455,-461.179,479.823
46,-1743,1472,-92.1663,-411.678,421.869
47,-1749,1504,-146.43,-353.253,382.399
48,-1756,1536,-70.8022,-349.238,356.343
49,-1762,1568,-103.594,-395.297,408.646
50,-1767,1600,-65.9595,-320.651,327.365
51,-1769,1632,-92.1726,-305.809,319.397
52,-1771,1664,-111.78,-325.558,344.213
53,-1772,1696,-49.4966,-294.324,298.457
54,-1774,1728,-222.227,-410.436,466.736
55,-1776,1760,527.79,-22.7721,528.281
56,-1778,1792,109.66,-198.537,226.809
57,-1776,1824,28.6307,-263.321,264.873
58,-1772,1856,68.4449,-247.244,256.543
59,-1764,1888,69.1361,-270.13,278.837
60,-1757,1920,11.8871,-227.268,227.579
61,-1750,1952,65.2332,-206.908,216.948
62,-1745,1984,17.6257,-228.673,229.351
63,-1741,2016,51.7126,-187.926,194.912
64,-1733,2048,16.5857,-164.95,165.782
65,-1725,2080,77.9576,-114.053,138.15
66,-1715,2112,183.523,-111.742,214.865
67,-1703,2144,213.632,13.8271,214.079
68,-1692,2176,877.905,512.24,1016.42
69,-1685,2208,-759.566,-766.147,1078.85
70,-1677,2240,-267.993,-414.432,493.532
71,-1669,2272,-102.454,-326.971,342.647
72,-1662,2304,-140.589,-310.241,340.609
73,-1653,2336,-87.2268,-258.825,273.128
74,-1644,2368,-34.9248,-336.054,337.864
75,-1638,2400,-104.919,-275.72,295.008
76,-1634,2432,-64.8329,-206.557,216.493
77,-1632,2464,-50.2329,-192.974,199.405
78,-1631,2496,-66.3865,-202.71,213.304
79,-1628,2528,-60.5386,-144.956,157.089
80,-1622,2560,-36.6356,-174.161,177.973
81,-1616,2592,-155.123,-201.731,254.477
82,-1609,2624,-576.568,18.1841,576.855
83,-1602,2656,73.6367,-256.415,266.779
84,-1595,2688,-90.7527,-291.556,305.354
85,-1590,2720,-42.8271,-258.917,262.435
86,-1584,2752,-4.87671,-234.476,234.527
87,-1580,2784,-13.9144,-176.667,177.214
88,-1577,2816,59.4178,-201.484,210.063
89,-1573,2848,26.1801,-198.423,200.143
90,-1572,2880,-47.4868,-180.947,187.075
91,-1569,2912,39.8992,-144.81,150.206
92,-1568,2944,2.13391,-169.297,169.311
93,-1570,2976,-28.5371,-165.999,168.434
94,-1573,3008,7.72742,-95.1021,95.4155
95,-1580,3040,-80.1155,-136.595,158.356
96,-1588,3072,466.377,-719.76,857.649
97,-1595,3104,127.921,-235.705,268.181
98,-1601,3136,39.5059,-218.078,221.628
99,-1606,3168,50.9885,-213.402,219.409
100,-1610,3200,64.8184,-178.563,189.964
101,-1616,3232,14.1268,-203.849,204.337
102,-1623,3264,22.2031,-196.753,198.002
103,-1631,3296,32.2678,-214.024,216.442
104,-1639,3328,7.22803,-203.683,203.811
105,-1649,3360,52.4506,-189.545,196.668
106,-1657,3392,33.1388,-156.158,159.635
107,-1664,3424,77.2655,-160.998,178.579
108,-1672,3456,43.0502,-184.319,189.279
109,-1681,3488,21.0764,-214.566,215.599
110,-1691,3520,48.6583,-163.148,170.249
111,-1700,3552,69.4026,-155.993,170.735
112,-1705,3584,60.532,-160.018,171.084
113,-1708,3616,20.7179,-169.119,170.384
114,-1710,3648,53.4255,-138.291,148.252
115,-1713,3680,17.3779,-180.965,181.797
116,-1716,3712,37.0477,-181.165,184.914
117,-1720,3744,55.5088,-150.039,159.977
118,-1726,3776,56.9301,-151.506,161.849
119,-1732,3808,-0.27771,-183.026,183.026
120,-1739,3840,2.16138,-170.562,170.576
121,-1745,3872,-19.8708,-229.562,230.42
122,-1750,3904,-1.94421,-263.051,263.058
123,-1755,3936,-250.682,-1077.15,1105.94
124,-1759,3968,145.209,99.009,175.751
125,-1761,4000,72.0302,-6.29712,72.3049
126,-1763,4032,71.3744,-39.5901,81.6191
127,-1765,4064,57.2404,-57.423,81.0793
128,-1767,4096,63.0111,-88.515,108.652
129,-1768,4128,40.7665,-40.349,57.3581
130,-1767,4160,16.8666,-122.279,123.437
131,-1763,4192,50.2836,-45.702,67.9493
132,-1757,4224,13.0044,-145.252,145.833
133,-1749,4256,99.6558,-87.3832,132.541
134,-1741,4288,84.2432,-130.582,155.398
135,-1737,4320,53.9845,-93.5552,108.013
136,-1732,4352,96.4315,-72.0488,120.375
137,-1726,4384,-26.4587,-213.052,214.689
138,-1718,4416,21.2679,-53.623,57.6867
139,-1708,4448,50.2413,-59.5056,77.8788
140,-1697,4480,34.6774,-112.831,118.04
141,-1688,4512,-25.3405,-89.0062,92.5432
142,-1681,4544,35.7035,-128.86,133.715
143,-1673,4576,79.7911,-111.898,137.433
144,-1666,4608,45.9468,-93.932,104.567
145,-1659,4640,42.621,-78.733,89.529
146,-1651,4672,89.7069,-83.8518,122.794
147,-1643,4704,119.021,-55.2894,131.236
148,-1635,4736,115.673,-78.1493,139.598
149,-1630,4768,125.426,-72.1635,144.704
150,-1628,4800,276.594,75.3326,286.669
151,-1627,4832,-276.134,-248.047,371.183
152,-1625,4864,-58.7946,-161.532,171.899
153,-1621,4896,-13.3976,-113.416,114.205
154,-1615,4928,-10.8936,-117.001,117.507
155,-1608,4960,-20.2533,-106.172,108.086
156,-1602,4992,28.999,-118.799,122.287
157,-1595,5024,19.1777,-113.121,114.735
158,-1590,5056,16.7197,-123.896,125.019
159,-1586,5088,28.2092,-104.048,107.805
160,-1582,5120,39.5343,-108.391,115.375
161,-1578,5152,45.9726,-66.8518,81.1335
162,-1575,5184,40.5679,-80.9708,90.5651
163,-1573,5216,8.32898,-105.463,105.791
164,-1571,5248,25.7861,-71.8823,76.3675
165,-1570,5280,39.8368,-97.3594,105.194
166,-1570,5312,41.8118,-95.0139,103.807
167,-1574,5344,56.9504,-101.517,116.4
168,-1581,5376,30.0547,-81.1627,86.5487
169,-1590,5408,30.7997,-95.4357,100.283
170,-1597,5440,32.2209,-78.5055,84.8605
171,-1603,5472,52.0764,-97.1129,110.195
172,-1609,5504,49.6454,-76.1874,90.9351
173,-1614,5536,56.3848,-84.7668,101.807
174,-1620,5568,72.5327,-77.2012,105.929
175,-1627,5600,36.2065,-69.2061,78.105
176,-1634,5632,45.8062,-72.181,85.4887
177,-1643,5664,14.1459,-79.5635,80.8112
178,-1651,5696,-15.7514,-52.392,54.7085
179,-1658,5728,26.1158,-95.1727,98.6908
180,-1667,5760,40.2451,-88.8308,97.5222
181,-1676,5792,68.5208,-89.0059,112.326
182,-1686,5824,28.9499,-87.7924,92.4424
183,-1696,5856,30.7305,-69.4618,75.9559
184,-1706,5888,29.4615,-61.3557,68.0625
