Index,Data,Frequency,Real,Imaginary,Abs
0,-1703,0,-1.66859e+06,0,1.66859e+06
1,-1667,32,3519.11,44.071,3519.39
2,-1629,64,2596.44,-527.361,2649.45
3,-1601,96,2998.53,-311.057,3014.62
4,-1584,128,3031.1,31.8535,3031.27
5,-1572,160,3219.42,-125.561,3221.87
6,-1558,192,3188.85,-52.7978,3189.29
7,-1537,224,3389.69,90.7776,3390.91
8,-1512,256,3483.11,270.651,3493.61
9,-1490,288,3558.53,-99.5886,3559.93
10,-1478,320,3988.48,417.911,4010.32
11,-1478,352,4238.2,33.6746,4238.33
12,-1482,384,4657.2,154.89,4659.77
13,-1480,416,4865.17,140.92,4867.21
14,-1471,448,5491.75,283.694,5499.08
15,-1464,480,6429.13,155.138,6431.01
16,-1468,512,7482.54,361.405,7491.26
17,-1493,544,9468,517.023,9482.1
18,-1534,576,12911.2,578.465,12924.2
19,-1573,608,20624.1,1077.46,20652.2
20,-1600,640,57997.7,3042.44,58077.4
21,-1611,672,-64620.5,-3808.13,64732.6
22,-1611,704,-20099.4,-1273.16,20139.7
23,-1612,736,-11620.8,-648.483,11638.9
24,-1623,768,-8153.72,-614.108,8176.81
25,-1650,800,-6212.28,-428.333,6227.03
26,-1688,832,0,0,0
27,-1724,864,0,0,0
28,-1752,896,0,0,0
29,-1772,928,0,0,0
30,-1790,960,0,0,0
31,-1813,992,0,0,0
32,-1841,1024,0,0,0
33,-1869,1056,0,0,0
34,-1884,1088,0,0,0
35,-1881,1120,0,0,0
36,-1865,1152,0,0,0
37,-1850,1184,0,0,0
38,-1844,1216,0,0,0
39,-1844,1248,0,0,0
40,-1843,1280,0,0,0
41,-1833,1312,0,0,0
42,-1811,1344,0,0,0
43,-1786,1376,0,0,0
44,-1765,1408,0,0,0
45,-1751,1440,0,0,0
46,-1745,1472,0,0,0
47,-1737,1504,0,0,0
48,-1719,1536,0,0,0
49,-1691,1568,0,0,0
50,-1653,1600,0,0,0
51,-1618,1632,0,0,0
52,-1594,1664,0,0,0
53,-1579,1696,0,0,0
54,-1566,1728,0,0,0
55,-1550,1760,0,0,0
56,-1528,1792,0,0,0
57,-1502,1824,0,0,0
58,-1483,1856,0,0,0
59,-1476,1888,0,0,0
60,-1478,1920,0,0,0
61,-1482,1952,0,0,0
62,-1478,1984,0,0,0
63,-1466,2016,0,0,0
64,-1460,2048,0,0,0
65,-1470,2080,0,0,0
66,-1502,2112,0,0,0
67,-1544,2144,0,0,0
68,-1580,2176,0,0,0
69,-1603,2208,0,0,0
70,-1608,2240,0,0,0
71,-1608,2272,0,0,0
72,-1612,2304,0,0,0
73,-1628,2336,0,0,0
74,-1658,2368,0,0,0
75,-1699,2400,0,0,0
76,-1732,2432,0,0,0
77,-1756,2464,0,0,0
78,-1773,2496,0,0,0
79,-1791,2528,0,0,0
80,-1816,2560,0,0,0
81,-1848,2592,0,0,0
82,-1875,2624,0,0,0
83,-1885,2656,0,0,0
84,-1876,2688,0,0,0
85,-1859,2720,0,0,0
86,-1845,2752,0,0,0
87,-1841,2784,0,0,0
88,-1843,2816,0,0,0
89,-1841,2848,0,0,0
90,-1827,2880,0,0,0
91,-1802,2912,0,0,0
92,-1776,2944,0,0,0
93,-1756,2976,0,0,0
94,-1746,3008,0,0,0
95,-1743,3040,0,0,0
96,-1734,3072,0,0,0
97,-1713,3104,0,0,0
98,-1680,3136,0,0,0
99,-1640,3168,0,0,0
100,-1606,3200,0,0,0
101,-1585,3232,0,0,0
102,-1573,3264,0,0,0
103,-1563,3296,0,0,0
104,-1546,3328,0,0,0
105,-1521,3360,0,0,0
106,-1495,3392,0,0,0
107,-1477,3424,0,0,0
108,-1472,3456,0,0,0
109,-1477,3488,0,0,0
110,-1480,3520,0,0,0
111,-1474,3552,0,0,0
112,-1466,3584,0,0,0
113,-1463,3616,0,0,0
114,-1478,3648,0,0,0
115,-1513,3680,0,0,0
116,-1555,3712,0,0,0
117,-1589,3744,0,0,0
118,-1608,3776,0,0,0
119,-1611,3808,0,0,0
120,-1610,3840,0,0,0
121,-1616,3872,0,0,0
122,-1637,3904,0,0,0
123,-1672,3936,0,0,0
124,-1711,3968,0,0,0
125,-1743,4000,0,0,0
126,-1765,4032,0,0,0
127,-1782,4064,0,0,0
128,-1801,4096,0,0,0
129,-1827,4128,0,0,0
130,-1856,4160,0,0,0
131,-1879,4192,0,0,0
132,-1885,4224,0,0,0
133,-1874,4256,0,0,0
134,-1858,4288,0,0,0
135,-1845,4320,0,0,0
136,-1843,4352,0,0,0
137,-1844,4384,0,0,0
138,-1838,4416,0,0,0
139,-1821,4448,0,0,0
140,-1797,4480,0,0,0
141,-1774,4512,0,0,0
142,-1756,4544,0,0,0
143,-1747,4576,0,0,0
144,-1741,4608,0,0,0
145,-1728,4640,0,0,0
146,-1705,4672,0,0,0
147,-1671,4704,0,0,0
148,-1634,4736,0,0,0
149,-1603,4768,0,0,0
150,-1584,4800,0,0,0
151,-1571,4832,0,0,0
152,-1558,4864,0,0,0
153,-1539,4896,0,0,0
154,-1514,4928,0,0,0
155,-1491,4960,0,0,0
156,-1479,4992,0,0,0
157,-1477,5024,0,0,0
158,-1479,5056,0,0,0
159,-1477,5088,0,0,0
160,-1470,5120,0,0,0
161,-1462,5152,0,0,0
162,-1466,5184,0,0,0
163,-1489,5216,0,0,0
164,-1528,5248,0,0,0
165,-1567,5280,0,0,0
166,-1595,5312,0,0,0
167,-1607,5344,0,0,0
168,-1609,5376,0,0,0
169,-1610,5408,0,0,0
170,-1620,5440,0,0,0
171,-1644,5472,0,0,0
172,-1681,5504,0,0,0
173,-1717,5536,0,0,0
174,-1746,5568,0,0,0
175,-1768,5600,0,0,0
176,-1787,5632,0,0,0
177,-1809,5664,0,0,0
178,-1837,5696,0,0,0
179,-1865,5728,0,0,0
180,-1881,5760,0,0,0
181,-1880,5792,0,0,0
182,-1865,5824,0,0,0
183,-1851,5856,0,0,0
184,-1843,5888,0,0,0
185,-1844,5920,0,0,0
186,-1844,5952,0,0,0
187,-1835,5984,0,0,0
188,-1813,6016,0,0,0
189,-1787,6048,0,0,0
190,-1765,6080,0,0,0
191,-1752,6112,0,0,0
192,-1747,6144,0,0,0
193,-1740,6176,0,0,0
194,-1724,6208,0,0,0
195,-1695,6240,0,0,0
196,-1657,6272,0,0,0
197,-1620,6304,0,0,0
198,-1594,6336,0,0,0
199,-1580,6368,0,0,0
200,-1569,6400,0,0,0
201,-1555,6432,0,0,0
202,-1532,6464,0,0,0
203,-1505,6496,0,0,0
204,-1485,6528,0,0,0
205,-1476,6560,0,0,0
206,-1478,6592,0,0,0
207,-1481,6624,0,0,0
208,-1478,6656,0,0,0
209,-1469,6688,0,0,0
210,-1463,6720,0,0,0
211,-1470,6752,0,0,0
212,-1499,6784,0,0,0
213,-1540,6816,0,0,0
214,-1579,6848,0,0,0
215,-1604,6880,0,0,0
216,-1611,6912,0,0,0
217,-1609,6944,0,0,0
218,-1612,6976,0,0,0
219,-1627,7008,0,0,0
220,-1657,7040,0,0,0
221,-1696,7072,0,0,0
222,-1732,7104,0,0,0
223,-1758,7136,0,0,0
224,-1776,7168,0,0,0
225,-1793,7200,0,0,0
226,-1816,7232,0,0,0
227,-1847,7264,0,0,0
228,-1874,7296,0,0,0
229,-1884,7328,0,0,0
230,-1879,7360,0,0,0
231,-1862,7392,0,0,0
232,-1847,7424,0,0,0
233,-1842,7456,0,0,0
234,-1845,7488,0,0,0
235,-1845,7520,0,0,0
236,-1834,7552,0,0,0
237,-1809,7584,0,0,0
238,-1783,7616,0,0,0
239,-1762,7648,0,0,0
240,-1750,7680,0,0,0
241,-1744,7712,0,0,0
242,-1736,7744,0,0,0
243,-1717,7776,0,0,0
244,-1685,7808,0,0,0
245,-1647,7840,0,0,0
246,-1614,7872,0,0,0
247,-1591,7904,0,0,0
248,-1578,7936,0,0,0
249,-1567,7968,0,0,0
250,-1550,8000,0,0,0
251,-1525,8032,0,0,0
252,-1499,8064,0,0,0
253,-1481,8096,0,0,0
254,-1476,8128,0,0,0
255,-1479,8160,0,0,0
256,-1481,8192,0,0,0
257,-1476,8224,0,0,0
258,-1468,8256,0,0,0
259,-1464,8288,0,0,0
260,-1478,8320,0,0,0
261,-1513,8352,0,0,0
262,-1556,8384,0,0,0
263,-1589,8416,0,0,0
264,-1607,8448,0,0,0
265,-1610,8480,0,0,0
266,-1608,8512,0,0,0
267,-1613,8544,0,0,0
268,-1633,8576,0,0,0
269,-1667,8608,0,0,0
270,-1706,8640,0,0,0
271,-1740,8672,0,0,0
272,-1763,8704,0,0,0
273,-1781,8736,0,0,0
274,-1800,8768,0,0,0
275,-1825,8800,0,0,0
276,-1856,8832,0,0,0
277,-1879,8864,0,0,0
278,-1884,8896,0,0,0
279,-1873,8928,0,0,0
280,-1857,8960,0,0,0
281,-1844,8992,0,0,0
282,-1842,9024,0,0,0
283,-1846,9056,0,0,0
284,-1843,9088,0,0,0
285,-1827,9120,0,0,0
286,-1802,9152,0,0,0
287,-1777,9184,0,0,0
288,-1759,9216,0,0,0
289,-1749,9248,0,0,0
290,-1743,9280,0,0,0
291,-1733,9312,0,0,0
292,-1710,9344,0,0,0
293,-1677,9376,0,0,0
294,-1639,9408,0,0,0
295,-1607,9440,0,0,0
296,-1588,9472,0,0,0
297,-1575,9504,0,0,0
298,-1564,9536,0,0,0
299,-1547,9568,0,0,0
300,-1520,9600,0,0,0
301,-1497,9632,0,0,0
302,-1481,9664,0,0,0
303,-1476,9696,0,0,0
304,-1481,9728,0,0,0
305,-1483,9760,0,0,0
306,-1475,9792,0,0,0
307,-1468,9824,0,0,0
308,-1470,9856,0,0,0
309,-1491,9888,0,0,0
310,-1529,9920,0,0,0
311,-1569,9952,0,0,0
312,-1599,9984,0,0,0
313,-1612,10016,0,0,0
314,-1614,10048,0,0,0
315,-1615,10080,0,0,0
316,-1624,10112,0,0,0
317,-1648,10144,0,0,0
318,-1685,10176,0,0,0
319,-1723,10208,0,0,0
320,-1752,10240,0,0,0
321,-1773,10272,0,0,0
322,-1790,10304,0,0,0
323,-1811,10336,0,0,0
324,-1838,10368,0,0,0
325,-1867,10400,0,0,0
326,-1885,10432,0,0,0
327,-1884,10464,0,0,0
328,-1869,10496,0,0,0
329,-1853,10528,0,0,0
330,-1845,10560,0,0,0
331,-1846,10592,0,0,0
332,-1849,10624,0,0,0
333,-1843,10656,0,0,0
334,-1821,10688,0,0,0
335,-1793,10720,0,0,0
336,-1769,10752,0,0,0
337,-1754,10784,0,0,0
338,-1747,10816,0,0,0
339,-1742,10848,0,0,0
340,-1728,10880,0,0,0
341,-1702,10912,0,0,0
342,-1665,10944,0,0,0
343,-1628,10976,0,0,0
344,-1600,11008,0,0,0
345,-1583,11040,0,0,0
346,-1571,11072,0,0,0
347,-1558,11104,0,0,0
348,-1537,11136,0,0,0
349,-1510,11168,0,0,0
350,-1488,11200,0,0,0
351,-1478,11232,0,0,0
352,-1477,11264,0,0,0
353,-1481,11296,0,0,0
354,-1480,11328,0,0,0
355,-1471,11360,0,0,0
356,-1464,11392,0,0,0
357,-1471,11424,0,0,0
358,-1498,11456,0,0,0
359,-1538,11488,0,0,0
360,-1577,11520,0,0,0
361,-1603,11552,0,0,0
362,-1612,11584,0,0,0
363,-1612,11616,0,0,0
364,-1614,11648,0,0,0
365,-1628,11680,0,0,0
366,-1657,11712,0,0,0
367,-1697,11744,0,0,0
368,-1733,11776,0,0,0
369,-1758,11808,0,0,0
370,-1778,11840,0,0,0
371,-1794,11872,0,0,0
372,-1815,11904,0,0,0
373,-1845,11936,0,0,0
374,-1873,11968,0,0,0
375,-1887,12000,0,0,0
376,-1882,12032,0,0,0
377,-1866,12064,0,0,0
378,-1850,12096,0,0,0
379,-1842,12128,0,0,0
380,-1844,12160,0,0,0
381,-1844,12192,0,0,0
382,-1834,12224,0,0,0
383,-1812,12256,0,0,0
384,-1786,12288,0,0,0
385,-1764,12320,0,0,0
386,-1750,12352,0,0,0
387,-1745,12384,0,0,0
388,-1737,12416,0,0,0
389,-1721,12448,0,0,0
390,-1692,12480,0,0,0
391,-1654,12512,0,0,0
392,-1618,12544,0,0,0
393,-1592,12576,0,0,0
394,-1578,12608,0,0,0
395,-1568,12640,0,0,0
396,-1553,12672,0,0,0
397,-1531,12704,0,0,0
398,-1504,12736,0,0,0
399,-1485,12768,0,0,0
400,-1478,12800,0,0,0
401,-1479,12832,0,0,0
402,-1482,12864,0,0,0
403,-1479,12896,0,0,0
404,-1471,12928,0,0,0
405,-1466,12960,0,0,0
406,-1477,12992,0,0,0
407,-1510,13024,0,0,0
408,-1551,13056,0,0,0
409,-1588,13088,0,0,0
410,-1608,13120,0,0,0
411,-1612,13152,0,0,0
412,-1613,13184,0,0,0
413,-1617,13216,0,0,0
414,-1634,13248,0,0,0
415,-1666,13280,0,0,0
416,-1706,13312,0,0,0
417,-1739,13344,0,0,0
418,-1762,13376,0,0,0
419,-1782,13408,0,0,0
420,-1800,13440,0,0,0
421,-1825,13472,0,0,0
422,-1855,13504,0,0,0
423,-1879,13536,0,0,0
424,-1886,13568,0,0,0
425,-1877,13600,0,0,0
426,-1861,13632,0,0,0
427,-1848,13664,0,0,0
428,-1845,13696,0,0,0
429,-1847,13728,0,0,0
430,-1844,13760,0,0,0
431,-1831,13792,0,0,0
432,-1806,13824,0,0,0
433,-1781,13856,0,0,0
434,-1763,13888,0,0,0
435,-1754,13920,0,0,0
436,-1748,13952,0,0,0
437,-1737,13984,0,0,0
438,-1716,14016,0,0,0
439,-1683,14048,0,0,0
440,-1645,14080,0,0,0
441,-1613,14112,0,0,0
442,-1592,14144,0,0,0
443,-1579,14176,0,0,0
444,-1567,14208,0,0,0
445,-1549,14240,0,0,0
446,-1524,14272,0,0,0
447,-1499,14304,0,0,0
448,-1483,14336,0,0,0
449,-1479,14368,0,0,0
450,-1482,14400,0,0,0
451,-1483,14432,0,0,0
452,-1477,14464,0,0,0
453,-1469,14496,0,0,0
454,-1468,14528,0,0,0
455,-1485,14560,0,0,0
456,-1522,14592,0,0,0
457,-1563,14624,0,0,0
458,-1594,14656,0,0,0
459,-1608,14688,0,0,0
460,-1612,14720,0,0,0
461,-1612,14752,0,0,0
462,-1619,14784,0,0,0
463,-1641,14816,0,0,0
464,-1677,14848,0,0,0
465,-1715,14880,0,0,0
466,-1745,14912,0,0,0
467,-1767,14944,0,0,0
468,-1786,14976,0,0,0
469,-1806,15008,0,0,0
470,-1833,15040,0,0,0
471,-1862,15072,0,0,0
472,-1881,15104,0,0,0
473,-1883,15136,0,0,0
474,-1870,15168,0,0,0
475,-1853,15200,0,0,0
476,-1844,15232,0,0,0
477,-1844,15264,0,0,0
478,-1845,15296,0,0,0
479,-1840,15328,0,0,0
480,-1821,15360,0,0,0
481,-1796,15392,0,0,0
482,-1774,15424,0,0,0
483,-1757,15456,0,0,0
484,-1749,15488,0,0,0
485,-1744,15520,0,0,0
486,-1729,15552,0,0,0
487,-1705,15584,0,0,0
488,-1669,15616,0,0,0
489,-1631,15648,0,0,0
490,-1603,15680,0,0,0
491,-1586,15712,0,0,0
492,-1576,15744,0,0,0
493,-1563,15776,0,0,0
494,-1541,15808,0,0,0
495,-1514,15840,0,0,0
496,-1492,15872,0,0,0
497,-1479,15904,0,0,0
498,-1477,15936,0,0,0
499,-1482,15968,0,0,0
500,-1481,16000,0,0,0
501,-1472,16032,0,0,0
502,-1465,16064,0,0,0
503,-1468,16096,0,0,0
504,-1494,16128,0,0,0
505,-1535,16160,0,0,0
506,-1575,16192,0,0,0
507,-1602,16224,0,0,0
508,-1613,16256,0,0,0
509,-1614,16288,0,0,0
510,-1616,16320,0,0,0
511,-1627,16352,0,0,0
512,-1654,16384,0,0,0
513,-1694,16416,0,0,0
514,-1730,16448,0,0,0
515,-1756,16480,0,0,0
516,-1776,16512,0,0,0
517,-1793,16544,0,0,0
518,-1816,16576,0,0,0
519,-1845,16608,0,0,0
520,-1873,16640,0,0,0
521,-1887,16672,0,0,0
522,-1882,16704,0,0,0
523,-1869,16736,0,0,0
524,-1854,16768,0,0,0
525,-1848,16800,0,0,0
526,-1850,16832,0,0,0
527,-1850,16864,0,0,0
528,-1839,16896,0,0,0
529,-1816,16928,0,0,0
530,-1790,16960,0,0,0
531,-1768,16992,0,0,0
532,-1756,17024,0,0,0
533,-1751,17056,0,0,0
534,-1744,17088,0,0,0
535,-1726,17120,0,0,0
536,-1696,17152,0,0,0
537,-1658,17184,0,0,0
538,-1624,17216,0,0,0
539,-1601,17248,0,0,0
540,-1586,17280,0,0,0
541,-1575,17312,0,0,0
542,-1558,17344,0,0,0
543,-1534,17376,0,0,0
544,-1507,17408,0,0,0
545,-1488,17440,0,0,0
546,-1480,17472,0,0,0
547,-1481,17504,0,0,0
548,-1485,17536,0,0,0
549,-1481,17568,0,0,0
550,-1470,17600,0,0,0
551,-1465,17632,0,0,0
552,-1474,17664,0,0,0
553,-1505,17696,0,0,0
554,-1548,17728,0,0,0
555,-1586,17760,0,0,0
556,-1607,17792,0,0,0
557,-1612,17824,0,0,0
558,-1611,17856,0,0,0
559,-1614,17888,0,0,0
560,-1631,17920,0,0,0
561,-1662,17952,0,0,0
562,-1701,17984,0,0,0
563,-1734,18016,0,0,0
564,-1758,18048,0,0,0
565,-1778,18080,0,0,0
566,-1796,18112,0,0,0
567,-1820,18144,0,0,0
568,-1851,18176,0,0,0
569,-1876,18208,0,0,0
570,-1885,18240,0,0,0
571,-1877,18272,0,0,0
572,-1860,18304,0,0,0
573,-1846,18336,0,0,0
574,-1842,18368,0,0,0
575,-1844,18400,0,0,0
576,-1844,18432,0,0,0
577,-1830,18464,0,0,0
578,-1804,18496,0,0,0
579,-1779,18528,0,0,0
580,-1761,18560,0,0,0
581,-1750,18592,0,0,0
582,-1746,18624,0,0,0
583,-1737,18656,0,0,0
584,-1717,18688,0,0,0
585,-1683,18720,0,0,0
586,-1644,18752,0,0,0
587,-1612,18784,0,0,0
588,-1590,18816,0,0,0
589,-1577,18848,0,0,0
590,-1566,18880,0,0,0
591,-1549,18912,0,0,0
592,-1524,18944,0,0,0
593,-1498,18976,0,0,0
594,-1481,19008,0,0,0
595,-1476,19040,0,0,0
596,-1481,19072,0,0,0
597,-1483,19104,0,0,0
598,-1476,19136,0,0,0
599,-1466,19168,0,0,0
600,-1463,19200,0,0,0
601,-1478,19232,0,0,0
602,-1514,19264,0,0,0
603,-1556,19296,0,0,0
604,-1590,19328,0,0,0
605,-1607,19360,0,0,0
606,-1611,19392,0,0,0
607,-1611,19424,0,0,0
608,-1617,19456,0,0,0
609,-1638,19488,0,0,0
610,-1673,19520,0,0,0
611,-1711,19552,0,0,0
612,-1742,19584,0,0,0
613,-1764,19616,0,0,0
614,-1783,19648,0,0,0
615,-1803,19680,0,0,0
616,-1829,19712,0,0,0
617,-1860,19744,0,0,0
618,-1880,19776,0,0,0
619,-1884,19808,0,0,0
620,-1875,19840,0,0,0
621,-1859,19872,0,0,0
622,-1848,19904,0,0,0
623,-1846,19936,0,0,0
624,-1847,19968,0,0,0
625,-1841,20000,0,0,0
626,-1822,20032,0,0,0
627,-1797,20064,0,0,0
628,-1776,20096,0,0,0
629,-1759,20128,0,0,0
630,-1751,20160,0,0,0
631,-1746,20192,0,0,0
632,-1733,20224,0,0,0
633,-1708,20256,0,0,0
634,-1672,20288,0,0,0
635,-1635,20320,0,0,0
636,-1606,20352,0,0,0
637,-1587,20384,0,0,0
638,-1575,20416,0,0,0
639,-1561,20448,0,0,0
640,-1541,20480,0,0,0
641,-1515,20512,0,0,0
642,-1493,20544,0,0,0
643,-1481,20576,0,0,0
644,-1479,20608,0,0,0
645,-1483,20640,0,0,0
646,-1481,20672,0,0,0
647,-1472,20704,0,0,0
648,-1463,20736,0,0,0
649,-1465,20768,0,0,0
650,-1489,20800,0,0,0
651,-1529,20832,0,0,0
652,-1569,20864,0,0,0
653,-1598,20896,0,0,0
654,-1611,20928,0,0,0
655,-1613,20960,0,0,0
656,-1613,20992,0,0,0
657,-1622,21024,0,0,0
658,-1647,21056,0,0,0
659,-1684,21088,0,0,0
660,-1720,21120,0,0,0
661,-1748,21152,0,0,0
662,-1769,21184,0,0,0
663,-1788,21216,0,0,0
664,-1810,21248,0,0,0
665,-1837,21280,0,0,0
666,-1865,21312,0,0,0
667,-1882,21344,0,0,0
668,-1881,21376,0,0,0
669,-1867,21408,0,0,0
670,-1850,21440,0,0,0
671,-1843,21472,0,0,0
672,-1843,21504,0,0,0
673,-1843,21536,0,0,0
674,-1833,21568,0,0,0
675,-1812,21600,0,0,0
676,-1787,21632,0,0,0
677,-1766,21664,0,0,0
678,-1751,21696,0,0,0
679,-1745,21728,0,0,0
680,-1738,21760,0,0,0
681,-1722,21792,0,0,0
682,-1694,21824,0,0,0
683,-1656,21856,0,0,0
684,-1621,21888,0,0,0
685,-1595,21920,0,0,0
686,-1580,21952,0,0,0
687,-1570,21984,0,0,0
688,-1554,22016,0,0,0
689,-1532,22048,0,0,0
690,-1506,22080,0,0,0
691,-1486,22112,0,0,0
692,-1477,22144,0,0,0
693,-1477,22176,0,0,0
694,-1480,22208,0,0,0
695,-1478,22240,0,0,0
696,-1470,22272,0,0,0
697,-1463,22304,0,0,0
698,-1470,22336,0,0,0
699,-1498,22368,0,0,0
700,-1540,22400,0,0,0
701,-1578,22432,0,0,0
702,-1603,22464,0,0,0
703,-1611,22496,0,0,0
704,-1611,22528,0,0,0
705,-1613,22560,0,0,0
706,-1626,22592,0,0,0
707,-1655,22624,0,0,0
708,-1692,22656,0,0,0
709,-1727,22688,0,0,0
710,-1755,22720,0,0,0
711,-1774,22752,0,0,0
712,-1793,22784,0,0,0
713,-1816,22816,0,0,0
714,-1845,22848,0,0,0
715,-1871,22880,0,0,0
716,-1883,22912,0,0,0
717,-1878,22944,0,0,0
718,-1862,22976,0,0,0
719,-1848,23008,0,0,0
720,-1842,23040,0,0,0
721,-1842,23072,0,0,0
722,-1841,23104,0,0,0
723,-1828,23136,0,0,0
