Index,Data,Frequency,Real,Imaginary,Abs
0,-1703,0,-1.66859e+06,0,1.66859e+06
1,-1667,32,3519.11,44.071,3519.39
2,-1629,64,2596.44,-527.361,2649.45
3,-1601,96,2998.53,-311.057,3014.62
4,-1584,128,3031.1,31.8535,3031.27
5,-1572,160,3219.42,-125.561,3221.87
6,-1558,192,3188.85,-52.7978,3189.29
7,-1537,224,3389.69,90.7776,3390.91
8,-1512,256,3483.11,270.651,3493.61
9,-1490,288,3558.53,-99.5886,3559.93
10,-1478,320,3988.48,417.911,4010.32
11,-1478,352,4238.2,33.6746,4238.33
12,-1482,384,4657.2,154.89,4659.77
13,-1480,416,4865.17,140.92,4867.21
14,-1471,448,5491.75,283.694,5499.08
15,-1464,480,6429.13,155.138,6431.01
16,-1468,512,7482.54,361.405,7491.26
17,-1493,544,9468,517.023,9482.1
18,-1534,576,12911.2,578.465,12924.2
19,-1573,608,20624.1,1077.46,20652.2
20,-1600,640,57997.7,3042.44,58077.4
21,-1611,672,-64620.5,-3808.13,64732.6
22,-1611,704,-20099.4,-1273.16,20139.7
23,-1612,736,-11620.8,-648.483,11638.9
24,-1623,768,-8153.72,-614.108,8176.81
25,-1650,800,-6212.28,-428.333,6227.03
26,-1688,832,-4888.9,-368.546,4902.77
27,-1724,864,-4144.63,-413.43,4165.2
28,-1752,896,-3341.06,-231.84,3349.1
29,-1772,928,-2988.02,-240.64,2997.69
30,-1790,960,-2606.43,-253.33,2618.71
31,-1813,992,-2328.41,-223.066,2339.07
32,-1841,1024,-2157.36,-191.732,2165.86
33,-1869,1056,-1941.76,-171.357,1949.31
34,-1884,1088,-1712.05,-221.857,1726.37
35,-1881,1120,-1628.7,-151.961,1635.78
36,-1865,1152,-1419.78,-121.813,1424.99
37,-1850,1184,-1363.02,-170.423,1373.63
38,-1844,1216,-1293.83,-125.862,1299.93
39,-1844,1248,-1268.34,-69.4893,1270.24
40,-1843,1280,-1063.07,-133.581,1071.43
41,-1833,1312,-2240.65,2040.73,3030.69
42,-1811,1344,-746.514,-369.308,832.869
43,-1786,1376,-875.329,-246.102,909.268
44,-1765,1408,-844.509,-240.772,878.161
45,-1751,1440,-788.183,-258.623,829.529
46,-1745,1472,-737.237,-268.694,784.675
47,-1737,1504,-730.536,-215.989,761.796
48,-1719,1536,-681.659,-235.742,721.272
49,-1691,1568,-693.901,-253.374,738.714
50,-1653,1600,-629.104,-263.089,681.9
51,-1618,1632,-637.747,-224.642,676.155
52,-1594,1664,-595.997,-267.165,653.138
53,-1579,1696,-589.277,-334.772,677.732
54,-1566,1728,-559.042,-335.833,652.159
55,-1550,1760,-584.749,-331.422,672.14
56,-1528,1792,-543.865,-407.143,679.378
57,-1502,1824,-601.622,-481.738,770.727
58,-1483,1856,-595.516,-551.992,811.993
59,-1476,1888,-706.995,-736.105,1020.63
60,-1478,1920,-887.07,-1129.81,1436.44
61,-1482,1952,-1690.88,-2887.69,3346.31
62,-1478,1984,1768.99,4071.44,4439.14
63,-1466,2016,291.817,1173.96,1209.68
64,-1460,2048,42.2064,587.899,589.412
65,-1470,2080,-33.0054,396.955,398.325
66,-1502,2112,-84.6339,269.7,282.667
67,-1544,2144,-132.38,240.125,274.198
68,-1580,2176,-108.893,124.483,165.389
69,-1603,2208,-133.743,208.766,247.932
70,-1608,2240,-137.479,93.0029,165.982
71,-1608,2272,-134.048,68.4791,150.526
72,-1612,2304,-139.582,-14.1938,140.302
73,-1628,2336,-115.631,76.9986,138.922
74,-1658,2368,-122.885,57.7902,135.796
75,-1699,2400,-74.4207,-9.40833,75.013
76,-1732,2432,-88.7572,-61.9521,108.24
77,-1756,2464,-62.4728,-95.4802,114.102
78,-1773,2496,5.62903,-76.2363,76.4438
79,-1791,2528,18.387,-176.912,177.865
80,-1816,2560,103.738,-262.41,282.171
81,-1848,2592,120.993,-440.901,457.201
82,-1875,2624,3161.66,-3811.71,4952.29
83,-1885,2656,-622.486,513.859,807.18
84,-1876,2688,-462.401,274.193,537.584
85,-1859,2720,-270.801,177.229,323.641
86,-1845,2752,-117.832,151.855,192.209
87,-1841,2784,-230.024,1.74799,230.03
88,-1843,2816,-128.938,50.8284,138.595
89,-1841,2848,-91.4869,61.7753,110.39
90,-1827,2880,-167.054,47.5106,173.679
91,-1802,2912,-145.15,20.9294,146.651
92,-1776,2944,-109.985,-24.2267,112.622
93,-1756,2976,-116.802,-57.4595,130.17
94,-1746,3008,-90.1759,0.119568,90.176
95,-1743,3040,-164.616,-86.1324,185.788
96,-1734,3072,-125.04,-140.733,188.257
97,-1713,3104,-89.322,-133.125,160.314
98,-1680,3136,-51.7645,-122.145,132.661
99,-1640,3168,-18.0522,-189.151,190.011
100,-1606,3200,30.3525,-254.322,256.127
101,-1585,3232,55.182,-479.844,483.006
102,-1573,3264,204.224,-1359.7,1374.95
103,-1563,3296,-712.911,2907.42,2993.55
104,-1546,3328,-250.147,773.804,813.232
105,-1521,3360,-159.086,428.551,457.126
106,-1495,3392,-148.322,328.176,360.137
107,-1477,3424,-80.3125,262.635,274.64
108,-1472,3456,-88.3939,231.898,248.174
109,-1477,3488,-91.8806,227.398,245.258
110,-1480,3520,-64.1793,172.594,184.14
111,-1474,3552,-45.0933,145.802,152.615
112,-1466,3584,-33.7638,141.316,145.294
113,-1463,3616,-48.1206,120.297,129.564
114,-1478,3648,-76.5997,137.485,157.384
115,-1513,3680,-48.0898,202.284,207.922
116,-1555,3712,-29.6586,155.417,158.222
117,-1589,3744,-90.8889,139.919,166.847
118,-1608,3776,-65.04,138.175,152.717
119,-1611,3808,-11.6627,75.6273,76.5213
120,-1610,3840,-17.0997,143.157,144.175
121,-1616,3872,42.2297,203.146,207.489
122,-1637,3904,128.408,142.136,191.55
123,-1672,3936,760.145,1169.75,1395.04
124,-1711,3968,-139.352,-133.317,192.853
125,-1743,4000,-54.6882,-167.642,176.337
126,-1765,4032,-22.9684,-5.36377,23.5864
127,-1782,4064,48.7389,21.4811,53.2627
128,-1801,4096,43.5918,10.9747,44.9521
129,-1827,4128,34.6788,24.5802,42.5066
130,-1856,4160,-19.5184,87.9015,90.0424
131,-1879,4192,24.5505,84.3772,87.8763
132,-1885,4224,1.53943,-49.6633,49.6872
133,-1874,4256,23.6084,-136.687,138.71
134,-1858,4288,74.2936,3.7179,74.3866
135,-1845,4320,7.72192,-25.4905,26.6344
136,-1843,4352,93.8312,92.9751,132.093
137,-1844,4384,222.286,150.205,268.278
138,-1838,4416,343.223,11.1268,343.403
139,-1821,4448,347.158,75.5188,355.277
140,-1797,4480,422.558,-81.0967,430.269
141,-1774,4512,507.579,22.4619,508.076
142,-1756,4544,986.656,-63.3358,988.687
143,-1747,4576,2351.34,-171.365,2357.58
144,-1741,4608,-6912.08,396.695,6923.45
145,-1728,4640,-1438.38,186.269,1450.39
146,-1705,4672,-952.491,54.756,954.064
147,-1671,4704,-596.944,22.6782,597.375
148,-1634,4736,-524.527,59.1613,527.853
149,-1603,4768,-421.31,25.86,422.102
150,-1584,4800,-321.128,42.692,323.953
151,-1571,4832,-289.122,34.1017,291.126
152,-1558,4864,-304.801,13.6537,305.107
153,-1539,4896,-258.204,-5.0603,258.254
154,-1514,4928,-289.026,45.1163,292.526
155,-1491,4960,-190.599,18.6611,191.51
156,-1479,4992,-243.303,21.5638,244.257
157,-1477,5024,-211.793,36.536,214.921
158,-1479,5056,-181.616,42.771,186.584
159,-1477,5088,-208.956,2.09912,208.967
160,-1470,5120,-174.842,20.2104,176.006
161,-1462,5152,-162.428,14.9882,163.118
162,-1466,5184,-157.199,43.817,163.191
163,-1489,5216,-141.582,12.6182,142.143
164,-1528,5248,-116.736,-7.84412,116.999
165,-1567,5280,-165.395,5.71936,165.494
166,-1595,5312,-170.784,19.0754,171.846
167,-1607,5344,-121.715,12.4746,122.353
168,-1609,5376,-113.652,21.6458,115.695
169,-1610,5408,-140.337,24.6298,142.482
170,-1620,5440,-141.37,13.1562,141.98
171,-1644,5472,-152.71,24.3694,154.642
172,-1681,5504,-127.649,14.71,128.494
173,-1717,5536,-100.624,15.7217,101.844
174,-1746,5568,-125.869,12.6649,126.505
175,-1768,5600,-125.468,8.8988,125.783
176,-1787,5632,-114.179,-16.7147,115.396
177,-1809,5664,-128.901,11.6531,129.427
178,-1837,5696,-118.531,11.7234,119.109
179,-1865,5728,-128.867,16.675,129.941
180,-1881,5760,-143.58,-13.3903,144.203
181,-1880,5792,-133.112,4.53247,133.189
182,-1865,5824,-135.992,-6.36096,136.14
183,-1851,5856,-154.952,-29.7668,157.785
184,-1843,5888,-234.495,-34.6715,237.044
185,-1844,5920,429.311,233.816,488.853
186,-1844,5952,12.2009,60.7612,61.9741
187,-1835,5984,-54.2635,51.6589,74.9212
188,-1813,6016,-37.6856,28.0612,46.9855
189,-1787,6048,-51.4818,2.49072,51.542
190,-1765,6080,-48.5786,18.9333,52.1378
191,-1752,6112,-90.0834,47.8247,101.991
192,-1747,6144,-61.9526,-9.53235,62.6817
193,-1740,6176,-75.5961,12.5242,76.6266
194,-1724,6208,-66.8199,-16.5801,68.8462
195,-1695,6240,-75.3056,18.9078,77.643
196,-1657,6272,-65.8784,5.17615,66.0814
197,-1620,6304,-65.0625,29.2338,71.3284
198,-1594,6336,-76.3851,13.2229,77.5212
199,-1580,6368,-42.0714,10.5754,43.3802
200,-1569,6400,-52.8044,25.3539,58.5758
201,-1555,6432,-55.4234,11.5902,56.6223
202,-1532,6464,-49.3406,0.664917,49.3451
203,-1505,6496,-47.1736,-10.0118,48.2243
204,-1485,6528,-66.7509,-20.3112,69.7727
205,-1476,6560,-45.7387,-100.473,110.394
206,-1478,6592,-53.8647,71.3361,89.3882
207,-1481,6624,-55.4384,35.668,65.9213
208,-1478,6656,-71.8076,25.4552,76.1859
209,-1469,6688,-60.7053,2.44299,60.7544
210,-1463,6720,-85.1365,47.6934,97.5853
211,-1470,6752,-80.5761,35.4271,88.0204
212,-1499,6784,-61.1017,13.1517,62.5011
213,-1540,6816,-59.4758,18.3821,62.2517
214,-1579,6848,-46.2026,33.1775,56.8808
215,-1604,6880,-26.9558,11.9218,29.4745
216,-1611,6912,-50.9283,43.2115,66.7902
217,-1609,6944,-37.3693,5.67041,37.797
218,-1612,6976,-42.5316,5.70667,42.9128
219,-1627,7008,-23.5225,22.0427,32.2365
220,-1657,7040,-78.3829,46.1953,90.9829
221,-1696,7072,-58.1393,11.8755,59.3397
222,-1732,7104,-36.1667,18.8804,40.7982
223,-1758,7136,-57.0816,6.67114,57.4701
224,-1776,7168,-54.1936,1.94177,54.2283
225,-1793,7200,-43.8063,5.33655,44.1301
226,-1816,7232,-150.007,114.578,188.76
227,-1847,7264,-61.3511,-5.29675,61.5793
228,-1874,7296,-81.6202,32.2795,87.7715
229,-1884,7328,-74.4267,9.22791,74.9966
230,-1879,7360,-65.1742,36.5978,74.7467
231,-1862,7392,-43.161,22.8578,48.8401
232,-1847,7424,-77.7576,-2.91699,77.8123
233,-1842,7456,-45.5034,20.683,49.9835
234,-1845,7488,-52.2426,31.2546,60.8781
235,-1845,7520,-58.1425,16.71,60.4961
236,-1834,7552,-46.707,18.0298,50.0661
237,-1809,7584,-56.3357,23.5923,61.0763
238,-1783,7616,-63.5351,21.5331,67.0848
239,-1762,7648,-41.2998,8.10229,42.0871
240,-1750,7680,-49.763,29.5323,57.8664
241,-1744,7712,-52.947,11.6816,54.2204
242,-1736,7744,-51.7542,6.69543,52.1854
243,-1717,7776,-67.126,10.7289,67.978
244,-1685,7808,-15.6812,33.6061,37.0846
245,-1647,7840,-31.0982,26.9862,41.1747
246,-1614,7872,-42.21,77.2354,88.017
247,-1591,7904,-87.611,-19.0466,89.6575
248,-1578,7936,-54.9343,-7.85547,55.4931
249,-1567,7968,-33.303,0.768921,33.3119
250,-1550,8000,-64.945,12.6852,66.1723
251,-1525,8032,-29.6455,-1.13428,29.6672
252,-1499,8064,-43.6726,36.7699,57.0905
253,-1481,8096,-39.7687,3.66406,39.9371
254,-1476,8128,-32.3368,2.72327,32.4512
255,-1479,8160,-58.8573,3.89294,58.9859
256,-1481,8192,-62.163,16.6478,64.3536
257,-1476,8224,-46.3086,24.663,52.4666
258,-1468,8256,-43.3182,12.6425,45.1254
259,-1464,8288,-36.7681,-5.70728,37.2085
260,-1478,8320,-62.4508,1.57275,62.4706
261,-1513,8352,-38.4359,12.4133,40.3907
262,-1556,8384,-50.2112,-0.171143,50.2114
263,-1589,8416,-36.2493,14.7474,39.1344
264,-1607,8448,-64.215,4.33777,64.3614
265,-1610,8480,-41.7712,28.3046,50.4577
266,-1608,8512,-14.4848,26.2119,29.9478
267,-1613,8544,-154.573,5.4895,154.671
268,-1633,8576,-40.4439,43.9563,59.7316
269,-1667,8608,-75.0541,23.4342,78.6275
270,-1706,8640,-27.9507,-2.28699,28.0441
271,-1740,8672,-41.2527,12.892,43.2202
272,-1763,8704,-55.0833,12.4423,56.471
273,-1781,8736,-36.8687,13.73,39.3423
274,-1800,8768,-44.5859,25.3907,51.3088
275,-1825,8800,-37.9936,1.86792,38.0395
276,-1856,8832,-60.0786,21.5714,63.8339
277,-1879,8864,-35.4066,8.30676,36.3679
278,-1884,8896,-38.6427,-7.51868,39.3673
279,-1873,8928,-54.1524,22.6759,58.7084
280,-1857,8960,-33.1595,9.90564,34.6074
281,-1844,8992,-26.0613,10.5194,28.1042
282,-1842,9024,-44.1841,3.83069,44.3499
283,-1846,9056,-47.3382,26.8419,54.4187
284,-1843,9088,-19.6717,-7.84534,21.1784
285,-1827,9120,-43.7427,19.9136,48.0622
286,-1802,9152,-38.6539,16.1997,41.9113
287,-1777,9184,-21.0128,65.0476,68.3574
288,-1759,9216,-62.452,-48.584,79.1243
289,-1749,9248,-17.3376,23.7504,29.4053
290,-1743,9280,-38.6741,10.6832,40.1226
291,-1733,9312,-50.6049,0.615356,50.6087
292,-1710,9344,-54.5839,15.8904,56.8498
293,-1677,9376,-40.6306,-2.21851,40.6911
294,-1639,9408,-28.6894,15.3717,32.5479
295,-1607,9440,-34.62,32.7261,47.6397
296,-1588,9472,-34.2119,7.98486,35.1313
297,-1575,9504,-28.232,7.16846,29.1279
298,-1564,9536,-25.373,0.152466,25.3735
299,-1547,9568,-17.0364,5.07874,17.7773
300,-1520,9600,-31.2702,12.3795,33.6315
301,-1497,9632,-23.1318,5.47668,23.7713
302,-1481,9664,-51.9317,5.01685,52.1735
303,-1476,9696,-45.7369,22.6014,51.0165
304,-1481,9728,-38.712,-13.1549,40.886
305,-1483,9760,-50.0223,3.49878,50.1446
306,-1475,9792,-43.6544,18.0009,47.2201
307,-1468,9824,-33.1924,8.48035,34.2586
308,-1470,9856,-51.2613,57.2488,76.8449
309,-1491,9888,-11.3184,9.34326,14.6766
310,-1529,9920,-53.8651,-9.91992,54.7709
311,-1569,9952,-16.5693,-4.32581,17.1246
312,-1599,9984,-23.0085,-6.06921,23.7956
313,-1612,10016,-34.686,9.65796,36.0055
314,-1614,10048,-27.7811,16.1901,32.1544
315,-1615,10080,-46.0742,-1.73816,46.107
316,-1624,10112,-20.3059,3.13806,20.547
317,-1648,10144,-46.79,-23.2441,52.2455
318,-1685,10176,-35.3578,2.20911,35.4267
319,-1723,10208,-42.5684,2.20801,42.6256
320,-1752,10240,-33.5359,3.42224,33.7101
321,-1773,10272,-58.289,2.50598,58.3428
322,-1790,10304,-54.3822,19.1682,57.6615
323,-1811,10336,-10.1707,12.743,16.3043
324,-1838,10368,-28.0535,-21.0426,35.0683
325,-1867,10400,-43.3013,15.0789,45.8517
326,-1885,10432,-26.268,15.6089,30.5556
327,-1884,10464,-39.5988,9.92175,40.8228
328,-1869,10496,-36.0353,-3.51489,36.2064
329,-1853,10528,-42.5981,13.4357,44.6667
330,-1845,10560,-27.8862,9.09253,29.3311
331,-1846,10592,-21.1213,9.8158,23.2908
332,-1849,10624,-34.1237,9.15076,35.3293
333,-1843,10656,-21.9691,11.0587,24.5954
334,-1821,10688,-44.142,2.38049,44.2061
335,-1793,10720,-28.0534,9.08203,29.4869
336,-1769,10752,-30.6585,-0.217041,30.6593
337,-1754,10784,-38.3154,11.7136,40.0659
338,-1747,10816,-51.0369,-8.64099,51.7632
339,-1742,10848,-39.4824,-0.449219,39.4849
340,-1728,10880,-19.4892,5.34668,20.2093
341,-1702,10912,-23.5497,10.4246,25.7539
342,-1665,10944,-43.1667,-8.47253,43.9904
343,-1628,10976,-38.6465,2.1344,38.7054
344,-1600,11008,-34.5599,3.28442,34.7156
345,-1583,11040,-45.4266,8.40759,46.1981
346,-1571,11072,-15.5059,-10.4124,18.6775
347,-1558,11104,-26.396,16.0951,30.916
348,-1537,11136,-31.8562,22.114,38.7795
349,-1510,11168,-52.8616,103.312,116.051
350,-1488,11200,-33.6777,-12.4343,35.8998
351,-1478,11232,-24.3464,13.4489,27.814
352,-1477,11264,-20.9689,8.8512,22.7605
353,-1481,11296,-15.154,4.77563,15.8887
354,-1480,11328,-20.8383,-1.71716,20.9089
355,-1471,11360,-33.4836,11.6436,35.4503
356,-1464,11392,-12.6434,3.16187,13.0328
357,-1471,11424,-53.0278,7.4054,53.5424
358,-1498,11456,-33.7153,2.9624,33.8452
359,-1538,11488,-38.1807,12.038,40.0334
360,-1577,11520,-8.18481,11.933,14.4702
361,-1603,11552,-51.4526,14.6945,53.5098
362,-1612,11584,-24.417,10.2056,26.464
363,-1612,11616,-30.1006,16.233,34.1988
364,-1614,11648,-30.9783,-17.7085,35.6825
365,-1628,11680,-51.2372,24.5557,56.8175
366,-1657,11712,-31.9362,8.87659,33.1468
367,-1697,11744,-31.2677,-5.12622,31.6851
368,-1733,11776,-38.7577,10.3702,40.1211
369,-1758,11808,-25.8568,1.1748,25.8835
370,-1778,11840,-7.46143,-4.13354,8.52989
371,-1794,11872,-36.2502,-7.5238,37.0228
372,-1815,11904,-23.65,-1.99854,23.7343
373,-1845,11936,-24.4409,6.44995,25.2777
374,-1873,11968,-33.0984,6.26599,33.6863
375,-1887,12000,-35.8501,4.47937,36.1289
376,-1882,12032,-31.0016,7.58337,31.9156
377,-1866,12064,-20.2656,-7.60571,21.6458
378,-1850,12096,-33.4547,11.1997,35.2796
379,-1842,12128,-16.4097,25.7772,30.5572
380,-1844,12160,-24.1455,-7.24829,25.21
381,-1844,12192,-31.9065,-7.82898,32.853
382,-1834,12224,-30.2867,2.74902,30.4112
383,-1812,12256,-16.7589,11.312,20.2194
384,-1786,12288,-29.5021,-8.08203,30.5891
385,-1764,12320,-16.7856,-3.97046,17.2488
386,-1750,12352,-42.2341,6.87927,42.7907
387,-1745,12384,-40.8715,-7.69873,41.5902
388,-1737,12416,-42.6078,6.03845,43.0336
389,-1721,12448,-48.8517,19.7198,52.6817
390,-1692,12480,-66.1732,-31.2719,73.1903
391,-1654,12512,-16.3785,0.0622559,16.3787
392,-1618,12544,-34.9792,15.793,38.3792
393,-1592,12576,-10.9607,5.85547,12.4267
394,-1578,12608,-25.2396,10.5157,27.3426
395,-1568,12640,-32.2939,7.3172,33.1125
396,-1553,12672,-32.4257,14.5255,35.5305
397,-1531,12704,-21.2708,-2.57599,21.4262
398,-1504,12736,-27.952,5.46478,28.4812
399,-1485,12768,-24.0369,9.46729,25.8341
400,-1478,12800,-27.0693,1.14844,27.0937
401,-1479,12832,-20.5061,5.30524,21.1813
402,-1482,12864,-29.4452,3.01038,29.5987
403,-1479,12896,-34.421,0.409119,34.4235
404,-1471,12928,-9.53357,7.44598,12.0968
405,-1466,12960,-35.9042,1.31183,35.9281
406,-1477,12992,-31.6523,6.03833,32.2232
407,-1510,13024,-16.2278,-12.5383,20.5073
408,-1551,13056,-25.724,-6.65546,26.571
409,-1588,13088,-20.0502,17.0409,26.3135
410,-1608,13120,-16.9856,-17.4243,24.3334
411,-1612,13152,-32.455,39.0659,50.7884
412,-1613,13184,-24.8783,-1.13916,24.9044
413,-1617,13216,-41.8855,16.4169,44.9879
414,-1634,13248,-14.9468,4.85931,15.7168
415,-1666,13280,-12.6809,-4.60876,13.4924
416,-1706,13312,-30.5631,16.8137,34.8827
417,-1739,13344,-39.6914,-3.29828,39.8282
418,-1762,13376,-30.7567,-12.977,33.3823
419,-1782,13408,-18.7703,2.50006,18.936
420,-1800,13440,-17.3505,3.74005,17.749
421,-1825,13472,-29.0016,5.88885,29.5934
422,-1855,13504,-15.9821,1.65405,16.0674
423,-1879,13536,-32.83,11.0601,34.6429
424,-1886,13568,-27.7821,-0.744812,27.7921
425,-1877,13600,-42.5638,6.8291,43.1082
426,-1861,13632,-30.5145,-7.47119,31.4158
427,-1848,13664,-39.3802,10.1511,40.6675
428,-1845,13696,-27.5476,-3.44061,27.7616
429,-1847,13728,-8.96899,-6.65881,11.1706
430,-1844,13760,-18.8307,-0.406494,18.8351
431,-1831,13792,-19.6193,-4.23792,20.0718
432,-1806,13824,-33.486,-6.91174,34.1918
433,-1781,13856,-18.952,22.8991,29.7245
434,-1763,13888,-32.9902,-2.55768,33.0892
435,-1754,13920,-20.7843,-3.80969,21.1306
436,-1748,13952,-22.5696,-7.97998,23.9388
437,-1737,13984,-17.1056,4.06555,17.5821
438,-1716,14016,-20.7367,-0.23291,20.738
439,-1683,14048,-24.8386,6.21027,25.6032
440,-1645,14080,-23.1731,21.2997,31.4749
441,-1613,14112,-26.4624,-3.94574,26.755
442,-1592,14144,-22.4318,11.3151,25.124
443,-1579,14176,-20.4877,6.8399,21.5993
444,-1567,14208,-14.9481,8.3512,17.1228
445,-1549,14240,-19.9349,-3.48065,20.2365
446,-1524,14272,-16.2236,-11.1209,19.6693
447,-1499,14304,-24.8633,-6.91376,25.8066
448,-1483,14336,-25.1914,5.10016,25.7025
449,-1479,14368,-38.7732,8.21942,39.6348
450,-1482,14400,-31.6896,5.28439,32.1272
451,-1483,14432,-14.639,-8.30249,16.8295
452,-1477,14464,-32.46,7.83472,33.3921
453,-1469,14496,-41.5175,2.44308,41.5893
454,-1468,14528,-30.0045,2.48792,30.1075
455,-1485,14560,-26.1581,9.55664,27.8491
