Index,Data,Frequency,Real,Imaginary,Abs
0,-1452,0,-1.48087e+06,0,1.48087e+06
1,-1450,32,-24.3296,-2207.51,2207.64
2,-1435,64,-2366.26,-1355.74,2727.12
3,-1434,96,-2530.31,668.226,2617.06
4,-1458,128,-1727.31,1785.36,2484.18
5,-1500,160,701.992,1655.63,1798.3
6,-1543,192,2175.76,520.597,2237.18
7,-1579,224,1893.81,-1398.14,2353.99
8,-1599,256,99.5116,-2774.38,2776.16
9,-1615,288,-2094.19,-1558.94,2610.73
10,-1639,320,-3177.76,954.209,3317.93
11,-1670,352,-1156.41,3098.37,3307.14
12,-1702,384,1964.42,3183.65,3740.93
13,-1728,416,4214.08,203.786,4219
14,-1734,448,3301.68,-3621.21,4900.43
15,-1717,480,-1193.17,-5808.02,5929.32
16,-1691,512,-6431.28,-3073.67,7128.03
17,-1673,544,-8345.95,4339.57,9406.74
18,-1676,576,-2244.08,13025.9,13217.8
19,-1692,608,14992.2,16185.8,22062.3
20,-1699,640,63772.1,-6143.06,64067.3
21,-1679,672,-39205.8,62433.9,73723
22,-1637,704,8229.09,22210,23685.5
23,-1590,736,13508.6,4153.55,14132.7
24,-1555,768,8348.92,-5888.71,10216.7
25,-1542,800,389.872,-7929.84,7939.42
26,-1543,832,-4991.27,-4245.97,6552.94
27,-1540,864,-5464.21,1122.95,5578.41
28,-1518,896,-2111.5,4421.28,4899.6
29,-1479,928,1936.81,3891.75,4347.06
30,-1438,960,3848.36,810.518,3932.79
31,-1406,992,2706.65,-2330.27,3571.56
32,-1390,1024,-161.545,-3247.03,3251.04
33,-1383,1056,-2513.4,-1765.16,3071.31
34,-1367,1088,-2723.02,761.549,2827.51
35,-1339,1120,-966.161,2518.56,2697.52
36,-1304,1152,1289.66,2140.13,2498.68
37,-1272,1184,2348.49,277.829,2364.87
38,-1252,1216,1595.43,-1600.87,2260.13
39,-1253,1248,-270.699,-2185.14,2201.84
40,-1270,1280,-1672.24,-868.401,1884.28
41,-1285,1312,-879.999,2072.35,2251.45
42,-1284,1344,-678.506,1786.71,1911.21
43,-1267,1376,899.867,1514.09,1761.32
44,-1257,1408,1697.1,147.556,1703.5
45,-1276,1440,1179.03,-1217.9,1695.11
46,-1325,1472,-251.686,-1600.08,1619.75
47,-1386,1504,-1365.24,-780.726,1572.71
48,-1435,1536,-1417.94,605.639,1541.86
