Index,Data,Frequency,Real,Imaginary,Abs
0,-1452,0,0,0,0
1,-1450,100,-2174.37,1081.8,2428.61
2,-1435,200,2313.73,500.212,2367.19
3,-1434,300,-2710.16,-495.391,2755.06
4,-1458,400,3562.55,2503.84,4354.42
5,-1500,500,-4396.06,-3973.27,5925.56
6,-1543,600,10171.1,18530.5,21138.4
7,-1579,700,5034.24,22233.3,22796.1
8,-1599,800,-12.1399,-8834.8,8834.81
9,-1615,900,-1842.6,3997.25,4401.5
10,-1639,1000,1877.37,-3214.39,3722.47
11,-1670,1100,-2408.46,1313.79,2743.49
12,-1702,1200,2039.5,-1020.69,2280.65
13,-1728,1300,-1977.97,290.539,1999.19
14,-1734,1400,1488.68,264.057,1511.92
15,-1717,1500,-1436.02,-1190.09,1865.07
16,-1691,1600,743.687,890.896,1160.5
17,-1673,1700,-713.173,-1510.87,1670.73
18,-1676,1800,72.0061,987.514,990.136
19,-1692,1900,-765.225,-2137.14,2270
20,-1699,2000,-1783.37,-961.718,2026.16
21,-1679,2100,1028.63,184.217,1044.99
22,-1637,2200,-899.478,-316.337,953.483
23,-1590,2300,630.645,276.663,688.662
24,-1555,2400,-711.747,-713.394,1007.73
25,-1542,2500,257.892,487.984,551.939
26,-1543,2600,-1148.97,-1897.2,2218
27,-1540,2700,-107.285,535.445,546.087
28,-1518,2800,310.431,-324.115,448.796
29,-1479,2900,-426.998,156.834,454.89
30,-1438,3000,277.91,-140.74,311.515
31,-1406,3100,-509.776,-222.375,556.167
32,-1390,3200,-498.661,16.1912,498.923
33,-1383,3300,-1621.44,-886.919,1848.16
34,-1367,3400,854.56,657.729,1078.37
35,-1339,3500,-140.763,-762.467,775.352
36,-1304,3600,14.5554,509.016,509.224
37,-1272,3700,233.52,-628.331,670.322
38,-1252,3800,-376.847,203.821,428.435
39,-1253,3900,229.563,-646.432,685.984
40,-1270,4000,-437.091,-188.709,476.088
41,-1285,4100,290.861,109.419,310.761
42,-1284,4200,-213.753,-537.041,578.017
43,-1267,4300,-109.752,35.1377,115.24
44,-1257,4400,93.9913,-625.911,632.929
45,-1276,4500,-973.192,-1358.43,1671.06
46,-1325,4600,-655.682,-3252.26,3317.7
47,-1386,4700,255.682,2369.75,2383.5
48,-1435,4800,657.369,-314.602,728.772
49,-1454,4900,-420.615,712.866,827.705
50,-1445,5000,751.728,84.5603,756.469
51,-1431,5100,-500.385,91.9628,508.765
52,-1437,5200,489.398,346.958,599.908
53,-1467,5300,-250.917,-276.082,373.069
54,-1511,5400,216.946,553.356,594.364
55,-1555,5500,91.6382,-381.877,392.719
56,-1585,5600,-108.899,474.907,487.232
57,-1601,5700,328.225,-281.576,432.454
58,-1617,5800,-259.056,116.943,284.229
59,-1645,5900,642.657,-203.787,674.194
60,-1678,6000,-513.609,175.778,542.856
61,-1711,6100,361.782,289.849,463.572
62,-1733,6200,-255.405,-193.297,320.305
63,-1731,6300,140.654,439.986,461.921
64,-1708,6400,11.7826,-316.077,316.296
65,-1680,6500,-99.4241,413.241,425.034
66,-1668,6600,198.57,-217.8,294.732
67,-1676,6700,-306.338,254.561,398.302
68,-1695,6800,350.571,-17.0374,350.985
69,-1697,6900,-355.69,14.829,355.999
70,-1668,7000,300.405,225.526,375.64
71,-1622,7100,-255.379,-150.991,296.676
72,-1577,7200,71.2645,425.582,431.508
73,-1549,7300,45.3837,-372.698,375.452
74,-1540,7400,-97.6249,320.64,335.172
75,-1541,7500,174.616,-245.318,301.117
76,-1533,7600,-248.931,199.624,319.087
77,-1506,7700,331.273,-68.8374,338.35
78,-1465,7800,-313.472,3.36865,313.49
79,-1425,7900,232.225,155.9,279.702
80,-1399,8000,-194.041,-205.119,282.357
81,-1388,8100,125.601,282.374,309.048
82,-1381,8200,-15.5859,-285.091,285.517
83,-1362,8300,-81.7009,296.702,307.745
84,-1330,8400,160.844,-230.364,280.96
85,-1296,8500,-256.247,124.283,284.797
86,-1265,8600,292.305,-28.797,293.72
87,-1249,8700,-271.273,7.42969,271.375
88,-1256,8800,267.613,133.752,299.176
89,-1276,8900,-185.65,-161.974,246.377
90,-1287,9000,129.103,261.441,291.58
91,-1280,9100,-24.8257,-255.273,256.477
92,-1263,9200,-49.2586,271.663,276.093
93,-1261,9300,116.473,-188.283,221.397
94,-1291,9400,-183.582,190.628,264.653
95,-1345,9500,231.01,-66.3583,240.352
96,-1404,9600,-253.705,24.0358,254.841
97,-1446,9700,208.811,103.025,232.843
98,-1455,9800,-252.637,-158.595,298.292
99,-1441,9900,177.249,237.671,296.487
100,-1430,10000,-23.8641,-214.889,216.21
101,-1443,10100,-33.8184,253.272,255.52
102,-1479,10200,128.295,-195.896,234.169
103,-1525,10300,-168.106,175.443,242.981
104,-1566,10400,228.261,-68.4203,238.295
105,-1592,10500,-232.59,32.7964,234.891
106,-1608,10600,233.701,86.0477,249.039
107,-1627,10700,-184.362,-116.269,217.963
108,-1654,10800,125.269,200,235.992
109,-1687,10900,-49.7291,-203.828,209.807
110,-1719,11000,-19.9394,247.084,247.888
111,-1736,11100,115.612,-205.471,235.763
112,-1727,11200,-181.664,175.44,252.549
113,-1698,11300,205.361,-94.8997,226.228
114,-1673,11400,-226.806,25.7585,228.264
