,,,,1,-117456896
94848,F9888000,,,2,-116277248
2127,-110116864,F96FC000,,3,-115245056
2129,-111919104,F9544000,,4,-114114560
2131,-113606656,F93A8000,,5,-112803840
2133,-115490816,F91DC000,,6,-111689728
2135,-117161984,F9044000,,7,-110460928
2137,-118734848,F8EC4000,,8,-109084672
2139,-120373248,F8D34000,,9,-107724800
2141,-121667584,F8BF8000,,10,-106250240
2143,-122814464,F8AE0000,,11,-104710144
2145,-123863040,F89E0000,,12,-103235584
2147,-124649472,F8920000,,13,-101810176
2149,-125419520,F8864000,,14,-100532224
2151,-126173184,F87AC000,,15,-99385344
2153,-126812160,F8710000,,16,-98467840
2155,-127320064,F8694000,,17,-97517568
2157,-127746048,F862C000,,18,-96518144
2159,-128188416,F85C0000,,19,-95731712
2161,-128401408,F858C000,,20,-94961664
2163,-128417792,F8588000,,21,-94257152
2165,-128368640,F8594000,,22,-93650944
2167,-128040960,F85E4000,,23,-92979200
2169,-127565824,F8658000,,24,-92389376
2171,-126861312,F8704000,,25,-91963392
2173,-125878272,F87F4000,,26,-91652096
2175,-124878848,F88E8000,,27,-91602944
2177,-123715584,F8A04000,,28,-91586560
2179,-122355712,F8B50000,,29,-91684864
2181,-120881152,F8CB8000,,30,-92012544
2183,-119472128,F8E10000,,31,-92504064
2185,-118243328,F8F3C000,,32,-93224960
2187,-117014528,F9068000,,33,-94191616
2189,-115834880,F9188000,,34,-101810176
2191,-114671616,F92A4000,,35,-103186432
2193,-113393664,F93DC000,,36,-104595456
2195,-112099328,F9518000,,37,-106332160
2197,-110788608,F9658000,,38,-107872256
2199,-109314048,F97C0000,,39,-109264896
2201,-107855872,F9924000,,40,-110821376
2203,-106430464,F9A80000,,41,-112377856
2205,-104775680,F9C14000,,42,-114163712
2207,-97107968,FA364000,,43,-115965952
2209,-96124928,FA454000,,44,-117538816
2211,-95305728,FA51C000,,45,-119029760
2213,-94437376,FA5F0000,,46,-120438784
2215,-93667328,FA6AC000,,47,-121667584
2217,-92880896,FA76C000,,48,-122798080
2219,-92127232,FA824000,,49,-123830272
2221,-91652096,FA898000,,50,-124600320
2223,-91209728,FA904000,,51,-125222912
2225,-90849280,FA95C000,,52,-125943808
2227,-90701824,FA980000,,53,-126517248
2229,-90619904,FA994000,,54,-126861312
2231,-90750976,FA974000,,55,-127221760
2233,-91029504,FA930000,,56,-127467520
2235,-91471872,FA8C4000,,57,-127631360
2237,-92225536,FA80C000,,58,-127746048
2239,-93192192,FA720000,,59,-127664128
2241,-94289920,FA614000,,60,-127303680
2243,-95567872,FA4DC000,,61,-126828544
2245,-96862208,FA3A0000,,62,-126042112
2247,-98287616,FA244000,,63,-125026304
2249,-99762176,FA0DC000,,64,-124059648
2251,-101089280,F9F98000,,65,-122863616
2253,-102383616,F9E5C000,,66,-121503744
2255,-103792640,F9D04000,,67,-120094720
2257,-105480192,F9B68000,,68,-118767616
2259,-107134976,F99D4000,,69,-117555200
2261,-108642304,F9864000,,70,-116342784
2263,-110215168,F96E4000,,71,-115245056
2265,-111869952,F9550000,,72,-114147328
2267,-113655808,F939C000,,73,-112918528
2269,-115523584,F91D4000,,74,-111689728
2271,-117276672,F9028000,,75,-110411776
2273,-118849536,F8EA8000,,76,-109068288
2275,-120291328,F8D48000,,77,-107659264
2277,-121470976,F8C28000,,78,-106168320
2279,-122667008,F8B04000,,79,-104710144
2281,-123748352,F89FC000,,80,-103219200
2283,-124518400,F8940000,,81,-101777408
2285,-125353984,F8874000,,82,-100548608
2287,-126058496,F87C8000,,83,-99434496
2289,-126631936,F873C000,,84,-98418688
2291,-127205376,F86B0000,,85,-97419264
2293,-127647744,F8644000,,86,-96468992
2295,-128040960,F85E4000,,87,-95764480
2297,-128352256,F8598000,,88,-94994432
2299,-128417792,F8588000,,89,-94224384
2301,-128319488,F85A0000,,90,-93601792
2303,-128008192,F85EC000,,91,-92913664
2305,-127483904,F866C000,,92,-92405760
2307,-126730240,F8724000,,93,-92143616
2309,-125763584,F8810000,,94,-92684288
2311,-124731392,F890C000,,95,-93454336
2313,-123617280,F8A1C000,,96,-94355456
2315,-122339328,F8B54000,,97,-95404032
2317,-120946688,F8CA8000,,98,-96616448
2319,-113983488,F934C000,,99,-97943552
2321,-112590848,F94A0000,,100,-99303424
2323,-111214592,F95F0000,,101,-100564992
2325,-109871104,F9738000,,102,-101842944
2327,-108412928,F989C000,,103,-103153664
2329,-106921984,F9A08000,,104,-104595456
2331,-105365504,F9B84000,,105,-106332160
2333,-103661568,F9D24000,,106,-107839488
2335,-102170624,F9E90000,,107,-109264896
2337,-100794368,F9FE0000,,108,-110886912
2339,-99516416,FA118000,,109,-112459776
2341,-98500608,FA210000,,110,-114163712
2343,-97402880,FA31C000,,111,-115900416
2345,-96452608,FA404000,,112,-117506048
2347,-95633408,FA4CC000,,113,-119046144
2349,-94814208,FA594000,,114,-120438784
2351,-94011392,FA658000,,115,-121700352
2353,-93175808,FA724000,,116,-122814464
2355,-92536832,FA7C0000,,117,-123748352
2357,-92012544,FA840000,,118,-124534784
2359,-91488256,FA8C0000,,119,-125124608
2361,-91176960,FA90C000,,120,-125845504
2363,-90931200,FA948000,,121,-126533632
2365,-90800128,FA968000,,122,-126910464
2367,-90947584,FA944000,,123,-127238144
2369,-91242496,FA8FC000,,124,-127582208
2371,-91848704,FA868000,,125,-127762432
2373,-92667904,FA7A0000,,126,-127746048
2375,-93519872,FA6D0000,,127,-127582208
2377,-94552064,FA5D4000,,128,-127287296
2379,-95830016,FA49C000,,129,-126844928
2381,-97206272,FA34C000,,130,-126124032
2383,-98598912,FA1F8000,,131,-125239296
2385,-99909632,FA0B8000,,132,-124223488
2387,-101220352,F9F78000,,133,-122994688
2389,-102612992,F9E24000,,134,-121683968
2391,-104103936,F9CB8000,,135,-120324096
2393,-105758720,F9B24000,,136,-118964224
2395,-107380736,F9998000,,137,-117669888
2397,-108937216,F981C000,,138,-116473856
2399,-110624768,F9680000,,139,-115392512
2401,-112312320,F94E4000,,140,-114294784
2403,-114081792,F9334000,,141,-113131520
2405,-115867648,F9180000,,142,-111951872
2407,-117473280,F8FF8000,,143,-110608384
2409,-119062528,F8E74000,,144,-109281280
2411,-120668160,F8CEC000,,145,-107937792
2413,-122060800,F8B98000,,146,-106479616
2415,-123224064,F8A7C000,,147,-104988672
2417,-124190720,F8990000,,148,-103448576
2419,-125075456,F88B8000,,149,-102006784
2421,-125911040,F87EC000,,150,-95830016
2423,-126599168,F8744000,,151,-95076352
2425,-127287296,F869C000,,152,-94388224
2427,-127844352,F8614000,,153,-93650944
2429,-128172032,F85C4000,,154,-92995584
2431,-127778816,F8624000,,155,-92454912
2433,-127074304,F86D0000,,156,-91947008
2435,-126271488,F8794000,,157,-91668480
2437,-125190144,F889C000,,158,-91586560
2439,-124076032,F89AC000,,159,-91553792
2441,-122732544,F8AF4000,,160,-91684864
2443,-121208832,F8C68000,,161,-91947008
2445,-119832576,F8DB8000,,162,-92471296
2447,-118538240,F8EF4000,,163,-93224960
2449,-117276672,F9028000,,164,-94126080
2451,-116113408,F9144000,,165,-95272960
2453,-114966528,F925C000,,166,-96534528
2455,-113770496,F9380000,,167,-97845248
2457,-112492544,F94B8000,,168,-99155968
2459,-111083520,F9610000,,169,-100368384
2461,-109658112,F976C000,,170,-101597184
2463,-108150784,F98DC000,,171,-102957056
2465,-106659840,F9A48000,,172,-104480768
2467,-105086976,F9BC8000,,173,-106184704
2469,-103432192,F9D5C000,,174,-107724800
2471,-101892096,F9ED4000,,175,-109150208
2473,-100483072,FA02C000,,176,-110706688
2475,-99270656,FA154000,,177,-112279552
2477,-98222080,FA254000,,178,-114032640
2479,-97206272,FA34C000,,179,-115785728
2481,-96206848,FA440000,,180,-117325824
2483,-95289344,FA520000,,181,-118784000
2485,-94470144,FA5E8000,,182,-120160256
2487,-93765632,FA694000,,183,-121438208
2489,-92995584,FA750000,,184,-122552320
2491,-92307456,FA7F8000,,185,-123584512
2493,-91750400,FA880000,,186,-124370944
2495,-91291648,FA8F0000,,187,-125026304
2497,-90947584,FA944000,,188,-125779968
2499,-90685440,FA984000,,189,-126353408
2501,-90669056,FA988000,,190,-126746624
2503,-90800128,FA968000,,191,-127139840
2505,-91062272,FA928000,,192,-127434752
2507,-91586560,FA8A8000,,193,-127598592
2509,-92340224,FA7F0000,,194,-127696896
2511,-93241344,FA714000,,195,-127500288
2513,-94355456,FA604000,,196,-127123456
2515,-95584256,FA4D8000,,197,-126681088
2517,-96944128,FA38C000,,198,-126009344
2519,-98402304,FA228000,,199,-125059072
2521,-99696640,FA0EC000,,200,-124010496
2523,-101023744,F9FA8000,,201,-122880000
2525,-102367232,F9E60000,,202,-121569280
2527,-103841792,F9CF8000,,203,-120242176
2529,-105480192,F9B68000,,204,-118931456
2531,-107069440,F99E4000,,205,-117604352
2533,-108675072,F985C000,,206,-116375552
2535,-110329856,F96C8000,,207,-115228672
2537,-111951872,F953C000,,208,-107921408
2539,-113704960,F9390000,,209,-106479616
2541,-115556352,F91CC000,,210,-104890368
2543,-124256256,F8980000,,211,-103415808
2545,-125042688,F88C0000,,212,-102039552
2547,-125812736,F8804000,,213,-100712448
2549,-126664704,F8734000,,214,-99614720
2551,-127270912,F86A0000,,215,-98615296
2553,-127746048,F862C000,,216,-97615872
2555,-128188416,F85C0000,,217,-96698368
2557,-128548864,F8568000,,218,-95895552
2559,-128860160,F851C000,,219,-95191040
2561,-128925696,F850C000,,220,-94420992
2563,-128778240,F8530000,,221,-93749248
2565,-128548864,F8568000,,222,-93224960
