,3E638000, -108134400
 3141, -1103216640,BE3E4000, -117899264
 3143, -28917760,FE46C000, -115671040
 3145, 2121269248,7E700000, -104857600
 3147, 1048707072,3E820000, -100139008
 3149, 1046675456,3E630000, -108265472
 3151, -1103364096,BE3C0000, -118489088
 3153, -29196288,FE428000, -116785152
 3155, 2121007104,7E6C0000, -105906176
 3157, -1098891264,BE804000, -100597760
 3159, -27017216,FE63C000, -108068864
 3161, -1103183872,BE3EC000, -117768192
 3163, 2118516736,7E460000, -115867648
 3165, 1047412736,3E6E4000, -105316352
 3167, -1098907648,BE800000, -100663296
 3169, -27115520,FE624000, -108462080
 3171, -29556736,FE3D0000, -118226944
 3173, 1044643840,3E440000, -116391936
 3175, -26476544,FE6C0000, -105906176
 3177, -1098973184,BE7F0000, -100925440
 3179, -1100824576,BE62C000, -108331008
 3181, -1103249408,BE3DC000, -118030336
 3183, 1044692992,3E44C000, -116195328
 3185, -1100087296,BE6E0000, -105381888
 3187, 1048772608,3E830000, -99876864
 3189, 1046937600,3E670000, -107216896
 3191, 1044381696,3E400000, -117440512
 3193, -1102888960,BE434000, -116588544
 3195, -26624000,FE69C000, -106496000
 3197, -1099005952,BE7E8000, -101056512
 3199, 2120482816,7E640000, -108003328
 3201, 2118025216,7E3E8000, -117833728
 3203, 2118287360,7E428000, -116785152
 3205, 1047117824,3E69C000, -106496000
 3207, 2122301440,7E7FC000, -100728832
 3209, 1046872064,3E660000, -107479040
 3211, 1044381696,3E400000, -117440512
 3213, 1044627456,3E43C000, -116457472
 3215, 2120941568,7E6B0000, -106168320
 3217, -25149440,FE804000, -100597760
 3219, 1046839296,3E658000, -107610112
 3221, 2117959680,7E3D8000, -118095872
 3223, 2118090752,7E3F8000, -117571584
 3225, 1046970368,3E678000, -107085824
 3227, -25214976,FE7F4000, -100859904
 3229, -1100611584,BE660000, -107479040
 3231, 2118008832,7E3E4000, -117899264
 3233, -29343744,FE404000, -117374976
 3235, 1047068672,3E690000, -106692608
 3237, -25034752,FE820000, -100139008
 3239, -26624000,FE69C000, -106496000
 3241, 1044512768,3E420000, -116916224
 3243, -1102921728,BE42C000, -116719616
 3245, -26656768,FE694000, -106627072
 3247, 2122383360,7E810000, -100401152
 3249, -1100513280,BE678000, -107085824
 3251, -29442048,FE3EC000, -117768192
 3253, 2118090752,7E3F8000, -117571584
 3255, -1100578816,BE668000, -107347968
 3257, 1048559616,3E7FC000, -100728832
 3259, 1047052288,3E68C000, -106758144
 3261, 1044480000,3E418000, -117047296
 3263, 1044529152,3E424000, -116850688
 3265, -26624000,FE69C000, -106496000
 3267, 1048805376,3E838000, -99745792
 3269, 2120990720,7E6BC000, -105971712
 3271, 1044529152,3E424000, -116850688
 3273, 1044430848,3E40C000, -117243904
 3275, 1046970368,3E678000, -107085824
 3277, -25149440,FE804000, -100597760
 3279, 1047035904,3E688000, -106823680
 3281, -1103134720,BE3F8000, -117571584
 3283, -1103200256,BE3E8000, -117833728
 3285, 1046888448,3E664000, -107413504
 3287, -25018368,FE824000, -100073472
 3289, -26361856,FE6DC000, -105447424
 3291, -29016064,FE454000, -116064256
 3293, 2118287360,7E428000, -116785152
 3295, -1100496896,BE67C000, -107020288
 3297, -1098776576,BE820000, -100139008
 3299, -1100218368,BE6C0000, -105906176
 3301, -1102938112,BE428000, -116785152
 3303, 1044316160,3E3F0000, -117702656
 3305, 1046740992,3E640000, -108003328
 3307, 2122235904,7E7EC000, -100990976
 3309, -26624000,FE69C000, -106496000
 3311, -1102970880,BE420000, -116916224
 3313, -1103118336,BE3FC000, -117506048
 3315, 1046904832,3E668000, -107347968
 3317, 1048756224,3E82C000, -99942400
 3319, 1047412736,3E6E4000, -105316352
 3321, -29016064,FE454000, -116064256
 3323, -1103036416,BE410000, -117178368
 3325, -1100627968,BE65C000, -107544576
 3327, -1098809344,BE818000, -100270080
 3329, 1047379968,3E6DC000, -105447424
 3331, 1044660224,3E444000, -116326400
 3333, 1044316160,3E3F0000, -117702656
 3335, 1046708224,3E638000, -108134400
 3337, -25149440,FE804000, -100597760
 3339, 2121187328,7E6EC000, -105185280
 3341, -28934144,FE468000, -115736576
 3343, 2118205440,7E414000, -117112832
 3345, -26902528,FE658000, -107610112
 3347, 2122530816,7E834000, -99811328
 3349, 2121318400,7E70C000, -104660992
 3351, -28934144,FE468000, -115736576
 3353, -29376512,FE3FC000, -117506048
 3355, -1100726272,BE644000, -107937792
 3357, 1048690688,3E81C000, -100204544
 3359, -26296320,FE6EC000, -105185280
 3361, -29065216,FE448000, -116260864
 3363, 1044185088,3E3D0000, -118226944
 3365, -27164672,FE618000, -108658688
 3367, 1048690688,3E81C000, -100204544
 3369, -1099825152,BE720000, -104333312
